"STATION","NAME","DATE","PRCP","TAVG","TSUN"
"USC00203429","GREENVILLE 2 NNE, MI US","2020-04-09","0.32",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-04-10","0.05",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-04-11","0.00",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-04-12","0.08",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-04-13","0.22",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-04-14","0.01",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-04-15","0.00",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-04-16","0.00",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-04-17","0.00",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-04-18","0.00",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-04-19","0.00",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-04-20","0.00",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-04-21","0.15",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-04-22","0.02",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-04-23","0.26",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-04-24","0.00",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-04-25","0.00",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-04-26","0.00",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-04-27","0.00",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-04-28","0.16",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-04-29","2.77",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-04-30","0.22",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-05-01","0.00",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-05-02","0.00",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-05-03","0.00",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-05-04","0.00",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-05-05","0.00",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-05-06","0.00",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-05-07","0.00",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-05-08","0.00",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-05-09","0.00",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-05-10","0.15",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-05-11","0.00",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-05-12","0.00",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-05-13","0.00",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-05-14","0.49",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-05-15","0.87",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-05-16","0.00",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-05-17","0.60",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-05-18","2.33",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-05-19","0.05",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-05-20","0.00",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-05-21","0.00",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-05-22","0.00",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-05-23","0.00",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-05-24","0.00",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-05-25","0.00",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-05-26","0.00",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-05-27","0.00",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-05-28","0.01",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-05-29","0.32",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-05-30","0.00",,
"USC00203429","GREENVILLE 2 NNE, MI US","2020-05-31","0.00",,
"USC00200032","ADRIAN 2 NNE, MI US","2020-04-09","0.03",,
"USC00200032","ADRIAN 2 NNE, MI US","2020-04-10","0.00",,
"USC00200032","ADRIAN 2 NNE, MI US","2020-04-11","0.00",,
"USC00200032","ADRIAN 2 NNE, MI US","2020-04-12","0.22",,
"USC00200032","ADRIAN 2 NNE, MI US","2020-04-13","0.08",,
"USC00200032","ADRIAN 2 NNE, MI US","2020-04-14","0.00",,
"USC00200032","ADRIAN 2 NNE, MI US","2020-04-15","0.00",,
"USC00200032","ADRIAN 2 NNE, MI US","2020-04-16","0.00",,
"USC00200032","ADRIAN 2 NNE, MI US","2020-04-17","0.50",,
"USC00200032","ADRIAN 2 NNE, MI US","2020-04-18","0.00",,
"USC00200032","ADRIAN 2 NNE, MI US","2020-04-19","0.00",,
"USC00200032","ADRIAN 2 NNE, MI US","2020-04-20","0.00",,
"USC00200032","ADRIAN 2 NNE, MI US","2020-04-21","0.11",,
"USC00200032","ADRIAN 2 NNE, MI US","2020-04-22","0.14",,
"USC00200032","ADRIAN 2 NNE, MI US","2020-04-23","0.06",,
"USC00200032","ADRIAN 2 NNE, MI US","2020-04-24","0.00",,
"USC00200032","ADRIAN 2 NNE, MI US","2020-04-25","0.40",,
"USC00200032","ADRIAN 2 NNE, MI US","2020-04-26","0.00",,
"USC00200032","ADRIAN 2 NNE, MI US","2020-04-27","0.04",,
"USC00200032","ADRIAN 2 NNE, MI US","2020-04-28","0.00",,
"USC00200032","ADRIAN 2 NNE, MI US","2020-04-29","0.02",,
"USC00200032","ADRIAN 2 NNE, MI US","2020-04-30","0.04",,
"USC00200032","ADRIAN 2 NNE, MI US","2020-05-01","0.00",,
"USC00200032","ADRIAN 2 NNE, MI US","2020-05-02","0.00",,
"USC00200032","ADRIAN 2 NNE, MI US","2020-05-03","0.00",,
"USC00200032","ADRIAN 2 NNE, MI US","2020-05-04","0.00",,
"USC00200032","ADRIAN 2 NNE, MI US","2020-05-05","0.00",,
"USC00200032","ADRIAN 2 NNE, MI US","2020-05-06","0.00",,
"USC00200032","ADRIAN 2 NNE, MI US","2020-05-07","0.00",,
"USC00200032","ADRIAN 2 NNE, MI US","2020-05-08","0.00",,
"USC00200032","ADRIAN 2 NNE, MI US","2020-05-09","0.00",,
"USC00200032","ADRIAN 2 NNE, MI US","2020-05-10","0.62",,
"USC00200032","ADRIAN 2 NNE, MI US","2020-05-11","0.09",,
"USC00200032","ADRIAN 2 NNE, MI US","2020-05-12","0.00",,
