state,date,positive,negative,hospitalized_currently,in_icu_currently,on_ventilator_currently,hospitalized_cumulative,in_icu_cumulative,on_ventilator_cumulative,recovered,death_increase,death,hospitalized_increase,hospitalized,positive_increase,negative_increase,positive_tests_viral,negative_tests_viral,total_test_results_increase,data_quality_grade,cases_white,cases_black,cases_latinx,cases_asian,cases_aian,cases_nhpi,cases_multiracial,cases_other,cases_unknown,deaths_white,deaths_black,deaths_latinx,deaths_asian,deaths_asian,deaths_aian,deaths_nhpi,deaths_multiracial,deaths_ethnicity_hispanic,deaths_other,deaths_unknown
AK,20200715,1631.0,154462.0,46.0,,4.0,48.0,,,669.0,2,17.0,48,48.0,94,7621,,,7667,,,39.0,,65.0,204.0,53.0,43.0,36.0,519.0,11.0,0.0,,2.0,2.0,3.0,1.0,0.0,0.0,0.0,10.0
AL,20200715,59067.0,481982.0,1362.0,,,7291.0,941.0,514.0,29736.0,47,1211.0,3656,7291.0,2212,20378,,,21712,,,18335.0,,232.0,,,,3417.0,17855.0,593.0,516.0,,5.0,5.0,,,,35.0,23.0,75.0
AR,20200715,30297.0,365479.0,458.0,,94.0,1948.0,43.0,284.0,23523.0,15,335.0,389,1948.0,1564,14718,,,15133,,,6444.0,125.0,425.0,78.0,1832.0,32.0,4138.0,2707.0,188.0,87.0,,6.0,6.0,0.0,29.0,,33.0,23.0,22.0
AS,20200715,0.0,816.0,,,,,,,,0,0.0,0,,0,522,,,522,,,,,,,,,,,,,,,,,,,,,0.0
AZ,20200715,131354.0,604608.0,3517.0,970.0,674.0,6103.0,,,16155.0,117,2434.0,161,6103.0,4877,16251,12089.0,,20933,,,2882.0,30361.0,968.0,8322.0,67.0,,2508.0,65081.0,970.0,69.0,601.0,27.0,27.0,353.0,2.0,,601.0,48.0,366.0
CA,20200715,347634.0,5445642.0,8353.0,2110.0,,,,,,149,7227.0,0,,11694,163092,,,165227,,,9697.0,122179.0,13167.0,482.0,1348.0,1621.0,35554.0,124058.0,2190.0,621.0,3091.0,949.0,949.0,25.0,34.0,41.0,3091.0,87.0,251.0
CO,20200715,37686.0,372304.0,1084.0,,,5963.0,,,4844.0,122,1594.0,571,5963.0,994,8337,,,8721,,,1784.0,12957.0,809.0,189.0,125.0,365.0,277.0,9787.0,1064.0,109.0,358.0,57.0,57.0,9.0,6.0,21.0,358.0,9.0,78.0
CT,20200715,47636.0,556463.0,1972.0,,,13793.0,,,8351.0,245,4380.0,7758,13793.0,2265,30886,,,31109,,,6273.0,9047.0,689.0,46.0,,139.0,291.0,14392.0,3211.0,646.0,376.0,48.0,48.0,2.0,,31.0,376.0,24.0,89.0
DC,20200715,11026.0,126918.0,447.0,130.0,200.0,,,,1809.0,19,571.0,0,,335,8925,,,8998,,,5431.0,,170.0,27.0,30.0,990.0,2840.0,1238.0,60.0,424.0,74.0,8.0,8.0,,,,74.0,5.0,5.0
DE,20200715,13050.0,130338.0,337.0,16.0,,,,,7236.0,17,521.0,0,,458,3594,,,3661,,,3333.0,3498.0,187.0,,,295.0,623.0,1168.0,325.0,134.0,33.0,1.0,1.0,,,3.0,33.0,19.0,22.0
