state,et_total_population,em_total_pop_median_age,e_total_pop_race_white,e_total_pop_race_black,e_total_pop_race_native_pop,e_total_pop_race_asian,e_total_pop_race_pacific_islander,e_total_pop_race_other_race,e_total_pop_race_two_or_more_races,e_total_pop_race_hispanic,e_total_pop_in_households_householder_parent,e_total_pop_over_30_responsible_for_grandchildren_live_together_and_responsible,e_total_households_type_nonfamily_householder_living_alone,e_total_housing_units_more_than_one_occupant_per_room,e_total_pop_poverty_status_below_100_percent,em_total_housing_units_avg_household_size_owned,e_total_pop_over_16_employment_status_in_civilian_labor_force_employed,em_total_households_with_income_mean_earnings,cdc_svi_overall_ranking,pop_density,et_over_60_population,em_over_60_pop_median_age,e_over_60_race_white,e_over_60_race_black,e_over_60_race_native_pop,e_over_60_race_asian,e_over_60_race_pacific_islander,e_over_60_race_other_race,e_over_60_race__two_or_more_races,e_over_60_race_hispanic,e_over_60_households_type_family,e_total_pop_over_60_responsible_for_grandchildren_live_together,e_pop_over_60_disability_status_yes,e_over_60_pop_employment_status_in_civilian_labor_force,e_over_60_pop_poverty_status_below_100_percent,em_over_60_housing_units_avg_household_size_owned,date,positive,negative,hospitalized_currently,in_icu_currently,on_ventilator_currently,hospitalized_cumulative,in_icu_cumulative,on_ventilator_cumulative,recovered,death_increase,death,hospitalized_increase,hospitalized,positive_increase,negative_increase,positive_tests_viral,negative_tests_viral,total_test_results_increase,data_quality_grade,cases_white,cases_black,cases_latinx,cases_asian,cases_aian,cases_nhpi,cases_multiracial,cases_other,cases_unknown,deaths_white,deaths_black,deaths_latinx,deaths_asian,deaths_asian,deaths_aian,deaths_nhpi,deaths_multiracial,deaths_other,deaths_unknown
AK,557449,140.10000000000002,396264.419,22554.081,39567.345,33837.791,7790.081999999999,9047.712,48432.814000000006,42271.723999999995,5845.592999999999,3538.191,49692.024000000005,9470.142,51583.889,11.54,265364.204,364528.0,0.38232499999999997,48.73652588224999,90959,270.20000000000005,74872.50200000001,2793.915,4809.447,4903.4310000000005,378.577,588.587,2563.987,2711.834,30616.228999999996,5681.107,28589.072,32338.394999999997,5317.758,8.83,20200715,1631.0,154462.0,46.0,,4.0,48.0,,,669.0,2,17.0,48,48.0,94,7621,,,7667,,,39.0,,65.0,204.0,53.0,43.0,36.0,519.0,11.0,0.0,,2.0,2.0,3.0,1.0,0.0,0.0,10.0
AL,4365123,1514.6000000000004,3020800.948999999,1104898.2519999999,22382.583000000002,62464.694,1561.7419999999997,68007.34599999999,85330.03199999998,193970.21900000007,43911.143000000004,53629.44900000001,487431.322,28977.589,717465.685,97.99,1898097.1359999997,2489407.0,0.6336763157894737,143.26506387789476,964796,2644.9999999999995,756036.0020000002,184679.74999999997,4601.965,8348.498,212.30200000000002,2246.3389999999995,8367.207,11392.277999999997,345011.95699999994,49554.487,343064.92999999993,235925.198,101119.92399999998,76.88,20200715,59067.0,481982.0,1362.0,,,7291.0,941.0,514.0,29736.0,47,1211.0,3656,7291.0,2212,20378,,,21712,,,18335.0,,232.0,,,,3417.0,17855.0,593.0,516.0,,5.0,5.0,,,,23.0,75.0
AR,2222771,935.0,1709662.966,329248.09799999994,15186.25,40548.71599999999,7567.287,60933.361,59545.058,178873.967,23200.481,25681.676000000003,239917.22900000005,22622.780000000002,353466.794,61.43000000000001,996327.7849999999,1540290.0,0.6481083333333334,126.31042893208331,467582,1672.9999999999995,405670.281,46126.441,2397.051,4785.277999999999,188.821,2952.868,5235.2480000000005,9797.999000000002,163402.907,21903.104000000003,166006.18999999997,120498.78300000001,46671.198,47.41,20200715,30297.0,365479.0,458.0,,94.0,1948.0,43.0,284.0,23523.0,15,335.0,389,1948.0,1564,14718,,,15133,,,6444.0,125.0,425.0,78.0,1832.0,32.0,4138.0,2707.0,188.0,87.0,,6.0,6.0,0.0,29.0,,23.0,22.0
AZ,6937181,569.3,5354204.046999999,306180.393,307143.60500000004,230787.17100000006,13442.952,472709.22000000003,251746.28200000004,2158374.255,109054.881,63032.251999999986,689375.6680000001,113603.86300000001,1089859.8949999998,37.66,3042342.2060000002,865561.0,0.8623,59.96195357714286,1565450,982.7,1388062.685,41095.981,39851.096,36018.494999999995,1402.1689999999999,41810.84399999999,19407.305999999997,213332.471,541598.117,87792.73400000001,477453.635,378430.2430000001,153730.084,30.02,20200715,131354.0,604608.0,3517.0,970.0,674.0,6103.0,,,16155.0,117,2434.0,161,6103.0,4877,16251,12089.0,,20933,,,2882.0,30361.0,968.0,8322.0,67.0,,2508.0,65081.0,970.0,69.0,601.0,27.0,27.0,353.0,2.0,,48.0,366.0
CA,38965115,1816.2,23378152.981999997,2264668.0970000005,289037.58699999994,5604521.030000001,153905.73799999992,5406659.319000001,1873557.0129999998,15175069.753999993,847888.7429999998,255765.07400000005,3063252.3560000006,1062619.5490000003,5460531.147,132.48000000000002,18236997.171,4246436.0,0.6400872340425533,870.9137679756168,7461151,3258.1000000000004,5177252.369,410756.60699999996,47310.29800000001,1149731.895,21863.198,501281.91800000006,152199.63,1573939.0019999996,2471547.144,650313.1860000001,2190645.823000001,2190511.785,774084.2260000001,102.39999999999999,20200715,347634.0,5445642.0,8353.0,2110.0,,,,,,149,7227.0,0,,11694,163092,,,165227,,,9697.0,122179.0,13167.0,482.0,1348.0,1621.0,35554.0,124058.0,2190.0,621.0,3091.0,949.0,949.0,25.0,34.0,41.0,87.0,251.0
CO,5086148,784.0999999999999,4246680.633,223316.87900000002,50214.132000000005,170002.67200000002,7086.3009999999995,202929.05200000005,186857.50900000002,1092594.9289999998,52978.299000000006,31531.037999999997,526479.882,50984.64599999999,535276.4240000002,51.699999999999996,2619542.2679999997,1707330.0,0.357225,509.4432269414998,958565,1373.4999999999998,865549.92,30088.224000000002,7173.4400000000005,24209.205000000005,847.655,19105.525999999998,11626.107999999998,101758.20299999996,329947.49199999997,47754.77900000002,257805.46600000001,313785.836,73217.04200000002,38.89,20200715,37686.0,372304.0,1084.0,,,5963.0,,,4844.0,122,1594.0,571,5963.0,994,8337,,,8721,,,1784.0,12957.0,809.0,189.0,125.0,365.0,277.0,9787.0,1064.0,109.0,358.0,57.0,57.0,9.0,6.0,21.0,9.0,78.0
CT,3581504,333.59999999999997,2734441.128,378141.485,9027.994999999999,159257.25700000004,944.3480000000001,185726.855,113115.958,560873.1179999999,44649.134,18104.954999999998,390406.04900000006,25363.467,348327.171,20.84,1810616.842,838669.0,0.3169625,723.9049894125002,823529,556.2,721666.17,58754.044,1509.2910000000002,20033.854999999996,65.176,14578.669,6736.409000000001,51459.79000000001,276257.91199999995,35503.015999999996,208498.275,284059.178,59729.7,16.040000000000003,20200715,47636.0,556463.0,1972.0,,,13793.0,,,8351.0,245,4380.0,7758,13793.0,2265,30886,,,31109,,,6273.0,9047.0,689.0,46.0,,139.0,291.0,14392.0,3211.0,646.0,376.0,48.0,48.0,2.0,,31.0,24.0,89.0
DE,949495,124.7,654649.191,210016.636,3767.3129999999996,36663.235,219.54,17953.534,26006.011000000002,86063.58099999999,11567.05,8653.094,97504.865,5817.68,109670.04000000001,7.739999999999999,450887.10599999997,243386.0,0.5015999999999999,611.7061554,228755,209.00000000000003,184151.50200000004,35434.704000000005,912.4749999999999,5204.162,75.517,1336.665,1524.806,6224.232,82176.454,11684.417,60633.136,65615.501,16299.588000000002,6.14,20200715,13050.0,130338.0,337.0,16.0,,,,,7236.0,17,521.0,0,,458,3594,,,3661,,,3333.0,3498.0,187.0,,,295.0,623.0,1168.0,325.0,134.0,33.0,1.0,1.0,,,3.0,19.0,22.0
FL,18870447,2085.6,14286101.112000003,3028130.0069999998,53392.67200000001,503471.3989999999,11554.146000000002,504741.1389999999,486179.66800000006,4770790.282000001,411290.9000000001,135897.037,2009464.6589999998,209567.02900000004,2716263.1000000006,120.06,8469256.588000001,3306130.0,0.5926234042553191,481.54274721978715,5025786,3311.1999999999994,4331161.297,480479.33499999996,10649.980000000001,96149.027,1227.745,58616.33299999999,46651.991,780787.8720000001,1648100.242,264125.792,1458990.2180000003,1214365.8009999997,535494.806,96.53,20200715,301810.0,2434143.0,8354.0,,,19659.0,,,,133,4626.0,458,19659.0,15300,83408,376345.0,3019257.0,98708,,,42761.0,76269.0,,,,,10782.0,108894.0,2135.0,908.0,1164.0,,,,,,154.0,265.0
GA,8788033,2260.0999999999995,5065988.177000001,2814130.8749999995,30868.71699999999,392716.62300000014,3754.1099999999997,254037.56100000013,227241.00300000003,892006.4590000005,122561.907,81893.279,847691.3070000001,71236.45299999998,1294843.675,162.80000000000004,4140395.9130000006,4299037.0,0.5862933333333334,466.7642813850003,1575525,4148.699999999999,1100930.6249999995,392180.64400000015,3873.4429999999993,50685.126,434.04900000000004,11368.778999999999,15469.497,52155.35500000002,553914.547,108279.694,478011.607,455774.91000000015,156890.98599999992,126.44999999999999,20200715,127834.0,1027149.0,2786.0,,,14102.0,2702.0,,,100,3091.0,442,14102.0,4484,31085,116295.0,1038688.0,31591,,,33489.0,18261.0,1648.0,67.0,8787.0,699.0,9372.0,40637.0,1401.0,1436.0,171.0,49.0,49.0,4.0,6.0,0.0,26.0,48.0
