,ET_Over_60_Population,EM_Over_60_Pop_Median_Age,E_Over_60_SEX_Male,E_Over_60_SEX_Female,E_Over_60_RACE_One_Race,E_Over_60_RACE_White,E_Over_60_RACE_Black,E_Over_60_RACE_Native_Pop,E_Over_60_RACE_Asian,E_Over_60_RACE_Pacific_Islander,E_Over_60_RACE_Other_Race,E_Over_60_RACE__Two_or_More_Races,E_Over_60_RACE_Hispanic,E_Over_60_RACE_White_Alone,E_Over_60_Pop_in_Households_Householder_Spouse,E_Over_60_Pop_in_Households_Householder_Parent,E_Over_60_Pop_in_Households_Householder_Other_Relative,E_Over_60_Pop_in_Households_Householder_Nonrelative,E_Over_60_Pop_in_Households_Householder_Unmarried_Partner,E_Over_60_Households_TYPE_Family,E_Over_60_Households_TYPE_Family_Married_Couple,E_Over_60_Households_TYPE_Family_Female_Householder,E_Over_60_Households_TYPE_Nonfamily,E_Over_60_Households_TYPE_Nonfamily_Householder_Living_Alone,E_Total_Pop_Over_60_MARITAL_STATUS_Married,E_Total_Pop_Over_60_MARITAL_STATUS_Divorced,E_Total_Pop_Over_60_MARITAL_STATUS_Separated,E_Total_Pop_Over_60_MARITAL_STATUS_Never_Married,E_Pop_Over_60_EDUCATION_Less_Than_High_School,E_Pop_Over_60_EDUCATION_Less_High_School_Grad,E_Pop_Over_60_EDUCATION_Some_College,E_Pop_Over_60_EDUCATION_Bachelors_Degree_or_Higher,E_Total_Pop_Over_60_RESPONSIBLE_FOR_GRANDCHILDREN_Live_Together,E_Total_Pop_Over_60_RESPONSIBLE_FOR_GRANDCHILDREN_Live_Together_and_Responsible,E_Pop_Over_60_VETERAN_STATUS_Civilian_Veteran,E_Pop_Over_60_DISABILITY_STATUS_Yes,E_Pop_Over_60_DISABILITY_STATUS_No,E_Pop_Over_60_Place_of_Residence_Last_Year_Same_House,E_Pop_Over_60_Place_of_Residence_Last_Year_Different_US_House,E_Pop_Over_60_Place_of_Residence_Last_Year_Different_Foreign_House,ET_Over_60_Pop_CITIZENSHIP_Native,ET_Over_60_Pop_CITIZENSHIP_Foreign_Born,E_Over_60_Pop_CITIZENSHIP_Foreign_Born_Post_2010_Entry,E_Over_60_Pop_CITIZENSHIP_Foreign_Born_Btwn_2000_2009_Entry,E_Over_60_Pop_CITIZENSHIP_Foreign_Born_Before_2000_Entry,E_Over_60_Pop_CITIZENSHIP_Foreign_Born_US_Citizen,E_Over_60_Pop_CITIZENSHIP_Foreign_Born_Not_US_Citizen,E_Over_60_Pop_LANGUAGE_English_Only_At_Home,E_Over_60_Pop_LANGUAGE_Nonenglish_At_Home,E_Over_60_Pop_LANGUAGE_Limited_English,ET_Over_60_Pop_EMPLOYMENT_STATUS_in_Labor_Force,E_Over_60_Pop_EMPLOYMENT_STATUS_in_Civilian_Labor_Force,E_Over_60_Pop_EMPLOYMENT_STATUS_in_Civilian_Labor_Force_Employed,E_Over_60_Pop_EMPLOYMENT_STATUS_in_Civilian_Labor_Force_Unemployed,E_Total_Pop_Over_60_EMPLOYMENT_STATUS_Not_In_Labor_Force,E_Total_Pop_Over_60_EMPLOYMENT_STATUS_In_Civilian_Labor_Force_Unemployed_Percent_of_Labor_Force,EM_Over_60_Households_WITH_INCOME_Mean_Earnings,EM_Over_60_Households_WITH_INCOME_Mean_Social_Security,EM_Over_60_Households_WITH_INCOME_Mean_Suppl_Security,EM_Over_60_Households_WITH_INCOME_Mean_Retirement_Income,EM_Over_60_Households_WITH_INCOME_Mean_Cash_Public_Asst,E_Over_60_Households_WITH_INCOME_WITH_EARNINGS,E_Over_60_Households_WITH_INCOME_WITH_Social_Security,E_Over_60_Households_WITH_INCOME_WITH_Suppl_Security,E_Over_60_Households_WITH_INCOME_WITH_Cash_Public_Asst,E_Over_60_Households_WITH_INCOME_WITH_Retirement_Income,E_Over_60_Households_WITH_INCOME_WITH_SNAP,E_Over_60_Pop_POVERTY_STATUS_Below_100_Percent,E_Over_60_Pop_POVERTY_STATUS_Btwn_100_149_Percent,E_Over_60_Pop_POVERTY_STATUS_Above_150_Percent,E_Over_60_HOUSING_UNITS_Owner_Occupied,E_Over_60_HOUSING_UNITS_Rented,E_Over_60_HOUSING_UNITS_No_Telephone,E_Over_60_HOUSING_UNITS_More_Than_One_Occupant_Per_Room,EM_Over_60_HOUSING_UNITS_Avg_Household_Size_Owned,EM_Over_60_HOUSING_UNITS_Avg_Household_Size_Rented,E_TRANSPORTATION_Workers_Over_60_Public_Transportation,E_TRANSPORTATION_Workers_Over_16_over_60_mins_public_transportation,STATE,COUNTY,AREA_SQMI,Pop_Density,CDC_SVI_Overall_Ranking,Lat,Long_,FIPS,4_22_Confirmed,4_22_Deaths
1,10744,70.7,4652.152,6091.848,10625.816,8777.848,1740.528,0,64.464,32.232,21.488,118.184,96.696,8734.872,9904.752,328.042,253.968,105.82,31.746,3925.44,3255.408,582.048,2842.56,2734.272,6629.048,1471.928,53.72,397.528,1686.808,4018.256,2643.024,2395.912,494.224,279.344,2428.144,4531.664,6056.336,10013.408,709.104,10.744,10506,238,0,0,238,191.114,46.886,10464.656,279.344,42.976,2202.52,2202.52,2138.056,53.72,8541.48,268.6,47659,19870,11173,29083,2502,2429.712,5827.248,426.384,40.608,3235.104,439.92,1111.74,1101.152,8375.108,5603.904,1164.096,223.344,67.68,1.88,1.53,5373.2,6528.438,ALABAMA,Autauga,594.4434589,92.85996704,0.4354,32.53952745,-86.64408227,1001,32,2
2,55516,69.9,25703.908,29812.092,55071.872,51352.3,3053.38,333.096,222.064,0,55.516,444.128,888.256,50575.076,49072.179,1531.796,2407.108,1695.917,547.07,19484.5,16658.25,2128,13765.5,12734.75,33753.728,8438.432,721.708,1832.028,5884.696,16321.704,16266.188,17098.928,1943.06,832.74,12102.488,16860.228,37880.772,51574.364,3830.604,111.032,54001,1515,130.29,116.655,1268.055,1057.47,457.53,53739.488,1776.512,444.128,13712.452,13712.452,13379.356,333.096,41803.548,1387.9,58961,21073,11007,27007,3428,13798.75,27497.75,1429.75,299.25,16093,1795.5,5036.172,4652.985,45106.584,28661.5,4588.5,897.75,166.25,2.08,1.9,0,37428.9,ALABAMA,Baldwin,1589.793007,130.9019471,0.2162,30.72774991,-87.72207058,1003,132,3
3,13846,70,6161.47,7684.53,13693.694,13319.852,235.382,69.23,27.692,13.846,13.846,152.306,346.15,13015.24,11911.68,582.048,730.944,311.328,94.752,4905.792,4080.144,625.248,3110.208,2957.904,8556.828,1786.134,55.384,401.534,3544.576,5219.942,3461.5,1619.982,595.378,249.228,2367.666,4491.67,9078.33,13278.314,553.84,13.846,13436,410,59.04,13.94,337.02,243.95,166.05,13472.158,373.842,249.228,2423.05,2423.05,2367.666,69.23,11422.95,373.842,45463,20988,10380,26033,2051,2829.648,6813.6,673.344,32.064,3599.184,424.848,1329.86,1791.24,10435.33,6765.504,1250.496,208.416,0,2.12,1.55,8680,3914.68,ALABAMA,Blount,644.8304602,89.39559087,0.4242,33.98210918,-86.56790593,1009,29,0
4,27464,69.2,12248.944,15215.056,27189.36,22657.8,4174.528,82.392,219.712,0,82.392,274.64,247.176,22493.016,24482.404,916.742,943.705,620.149,269.63,10207.2,7893.568,1837.296,6804.8,6447.548,15901.656,3680.176,494.352,1263.344,5135.768,9722.256,7744.848,4861.128,1373.2,604.208,5657.584,11446.304,15549.696,25898.552,1537.984,27.464,26899,565,14.125,28.25,523.19,353.125,211.875,26804.864,659.136,302.104,6481.504,6481.504,6289.256,192.248,20982.496,796.456,50093,18635,8948,25143,2363,7042.968,13711.672,1343.948,187.132,9050.384,1701.2,3077.544,2699.6,21218.856,14749.404,2262.596,306.216,119.084,1.95,1.69,16389.79,11143.2,ALABAMA,Calhoun,605.8672514,189.9723079,0.8252,33.77483727,-85.82630386,1015,85,3
5,8614,70,3660.95,4953.05,8579.544,5823.064,2661.726,25.842,60.298,0,0,34.456,34.456,5788.608,7627.803,293.055,267.936,192.579,33.492,3076.904,2174.862,713.886,2457.096,2335.348,4444.824,1162.89,189.508,465.156,2403.306,2989.058,2093.202,1128.434,542.682,353.174,1309.328,3067.825,5337.175,8123.002,482.384,8.614,8529,85,0,37.995,47.005,13.005,71.995,8527.86,86.14,60.298,1688.344,1688.344,1645.274,51.684,6925.656,258.42,48492,19299,10053,15648,1283,2191.464,4355.258,503.594,44.272,2030.978,536.798,1050.625,1285.965,6068.41,4637.492,896.508,121.748,33.204,2.07,1.82,0,6476.8,ALABAMA,Chambers,596.560643,56.70169562,0.7382,32.91360079,-85.39072749,1017,270,16
6,7538,69.8,3505.17,4032.83,7507.848,7191.252,293.982,22.614,7.538,0,0,30.152,15.076,7183.714,6954.448,132.606,191.542,88.404,36.835,2936.904,2481.498,343.878,1710.096,1631.097,4877.086,897.022,52.766,271.368,1786.506,3324.258,1696.05,731.186,331.672,143.222,1477.448,2652.12,4714.88,7048.03,489.97,0,7474,64,0,0,64,48,16,7485.234,52.766,15.076,1093.01,1093.01,1055.32,37.69,6444.99,248.754,57447,20084,9079,24707,6877,1440.57,4084.713,413.583,27.882,2044.68,520.464,1046.114,1024.013,5289.506,3754.776,892.224,88.293,32.529,1.98,1.63,3986.448,3698.12,ALABAMA,Cherokee,553.5248315,46.70612505,0.4516,34.17805983,-85.60638968,1019,13,0
7,9663,70.1,4551.273,5111.727,9663,8667.711,840.681,86.967,0,0,67.641,0,202.923,8600.07,8804.646,341.928,180.462,170.964,9.498,3452.715,2804.949,458.325,2658.285,2597.175,5691.507,1372.146,86.967,338.205,1913.274,4338.687,1961.589,1459.113,531.465,173.934,1720.014,3470.42,6037.58,9353.784,280.227,28.989,9633,30,0,0,30,30,0,9518.055,144.945,38.652,2261.142,2261.142,2241.816,19.326,7401.858,77.304,57923,20138,8677,26691,1933,2511.621,5011.02,531.657,128.331,2487.177,714.987,1283.58,941.292,7292.636,5157.684,953.316,146.664,116.109,2.03,1.56,NA,NA,ALABAMA,Chilton,692.8511876,63.40466869,0.7602,32.85044126,-86.7173256,1021,46,1
8,11294,70,5082.3,6211.7,11226.236,9215.904,1603.748,169.41,214.586,0,11.294,67.764,203.292,9035.2,9995.264,462.336,473.344,77.056,33.024,3954.758,3269.358,534.612,2899.242,2782.724,6844.164,1502.102,191.998,316.232,1931.274,3738.314,3320.436,2303.976,767.992,327.526,2857.382,4359.168,6648.832,10424.362,801.874,67.764,10773,521,52.1,26.05,442.85,344.902,176.098,10819.652,474.348,135.528,2800.912,2800.912,2733.148,67.764,8493.088,282.35,58914,19801,10174,26937,2902,2933.512,5448.93,418.094,89.102,3618.912,534.612,1067.776,924.672,9004.544,5627.134,1226.866,143.934,20.562,1.99,1.78,NA,NA,ALABAMA,Coffee,678.9858208,75.5361871,0.5408,31.39932826,-85.98901039,1031,73,1
9,14380,70.3,6370.34,8009.66,14221.82,12007.3,2041.96,71.9,71.9,14.38,14.38,158.18,71.9,11978.54,12815.512,663.358,465.762,169.368,84.684,5289.56,4201.32,740.36,3630.44,3487.72,8527.34,1941.3,71.9,632.72,2617.16,5723.24,3451.2,2602.78,690.24,273.22,2358.32,5435.43,8682.57,13718.52,661.48,0,14205,175,9.975,0,165.025,152.075,22.925,14178.68,201.32,71.9,2703.44,2703.44,2617.16,86.28,11676.56,460.16,50271,20179,7628,25000,1871,3148.76,7305.48,633.32,107.04,4397.56,713.6,1708.278,1877.694,10532.028,7457.12,1462.88,258.68,17.84,2,1.58,0,11416.749,ALABAMA,Colbert,592.7446865,91.93671616,0.4274,34.69847452,-87.80168544,1033,20,1
10,10509,70.2,4665.996,5843.004,10340.856,9300.465,998.355,10.509,42.036,0,0,168.144,63.054,9237.411,9191.18,335.148,396.084,233.588,142.184,3718.62,2995.92,519.03,2851.38,2700.27,5885.04,1303.116,136.617,420.36,2290.962,3930.366,2700.813,1586.859,462.396,210.18,1954.674,4293.66,5929.34,9825.915,683.085,10.509,10417,92,0,25.024,66.976,50.968,41.032,10403.91,105.09,42.036,2248.926,2248.926,2175.363,73.563,8260.074,336.288,43207,19013,10168,21002,3514,2739.69,5361.12,427.05,39.42,2549.16,512.46,1206.314,1288.098,7728.588,5584.5,985.5,91.98,26.28,1.99,1.51,0,13429,ALABAMA,Covington,1030.556053,36.24354046,0.7723,31.2477854,-86.45050893,1039,27,0
