date,state,cumulative_positive,cumulative_negative,hospitalized_cumulative,cumulative_death,avg_daily_precip,avg_current_tmp,avg_daily_max_tmp,avg_daily_wind_speed,avg_daily_min_tmp,avg_daily_tmp
2020-07-15,AZ,131354,604608,6103,2434,0.0152678571,65.9204464286,82.6849107143,7.26578125,53.9292857143,69.3119419643
2020-07-14,AZ,128097,593846,5942,2337,0.0062637363,66.8694725275,82.8908791209,7.3041538462,54.464021978,69.8429230769
2020-07-13,AZ,123824,578602,5839,2245,0.0352699784,67.5089632829,83.2654211663,7.3548164147,55.1117926566,70.3497408207
2020-07-12,AZ,122467,573705,5795,2237,0.0791503268,66.527211329,83.742832244,7.2302832244,54.0949237473,69.9728976035
2020-07-11,AZ,119930,564060,5750,2151,0.0174776786,66.9812053571,84.0272321429,7.2425892857,54.6246651786,70.3681473214
2020-07-10,AZ,116892,552319,5659,2082,0.0094843049,67.3939686099,83.5515695067,7.2852690583,54.2713004484,70.1811883408
2020-07-09,AZ,112671,540390,5526,2038,0.0034228188,66.7888814318,82.9193736018,7.3198434004,53.7109395973,69.6376957494
2020-07-08,AZ,108614,532456,5387,1963,0.0032957111,66.742979684,82.8394582393,7.3181941309,53.7076523702,69.599751693
2020-07-07,AZ,105094,523703,5272,1927,0.003011236,67.0528764045,83.0673707865,7.3134606742,53.0430337079,69.6019325843
2020-07-06,AZ,101441,516400,5188,1810,0.0029398664,66.7744097996,83.1369265033,7.2789755011,53.4654788419,69.6667037862
2020-07-05,AZ,98089,506273,5161,1809,0.0038288288,66.8522747748,83.0557657658,7.2611261261,53.2555405405,69.5765315315
2020-07-04,AZ,94553,494955,5068,1805,0.0482608696,65.5733913043,81.7665217391,7.2225652174,52.2229347826,68.3581086957
2020-07-03,AZ,91858,486523,5018,1788,0.0397826087,64.1151304348,80.310173913,7.2215869565,52.1258478261,67.2688913043
2020-07-02,AZ,87425,473414,4916,1757,0.0124893617,64.135893617,79.901787234,7.2545319149,51.5246170213,66.9460851064
2020-07-01,AZ,84092,465504,4837,1720,0.0030652174,64.1096304348,80.0992826087,7.3120652174,50.5879347826,66.784173913
2020-06-30,AZ,79215,453141,4736,1632,0,63.7536080178,79.569532294,8.0734521158,50.264610245,66.3698886414
2020-06-29,AZ,74533,436890,4634,1588,0.0002227171,64.0168151448,79.1824498886,8.3195991091,52.0937193764,66.8208463252
2020-06-28,AZ,73908,435988,4617,1588,0.0083741648,65.1092650334,80.469844098,8.3011358575,52.9283518931,67.8594432071
2020-06-27,AZ,70051,424696,4595,1579,0.005456621,65.7266438356,81.9557990868,8.1011643836,52.6197945205,68.6380821918
2020-06-26,AZ,66548,413275,4514,1535,0,66.1126879271,82.493667426,8.0675170843,52.7804328018,69.0103189066
2020-06-25,AZ,63030,401166,4406,1490,0.0002252252,66.6404279279,82.9726351351,8.0750225225,53.0092342342,69.4404054054
2020-06-24,AZ,59974,389214,4313,1463,2.21238938053097E-05,66.7731858407,83.3486725664,8.0454646018,52.6564380531,69.5376327434
2020-06-23,AZ,58179,382339,4255,1384,0,66.7501348315,83.3140898876,8.0585393258,52.7576404494,69.5503595506
2020-06-22,AZ,54586,375204,4255,1342,0.0007466063,66.5755429864,82.9878733032,8.0572171946,52.5530995475,69.2950678733
2020-06-21,AZ,52390,367354,4255,1339,0,65.9805479452,82.3096803653,8.0465296804,51.8001598174,68.6207990868
2020-06-20,AZ,49798,355482,4252,1338,0,64.7984827586,81.3215862069,8.0249195402,50.5092183908,67.511908046
2020-06-19,AZ,46689,345527,4246,1312,0.0002293578,63.8934633028,80.4740366972,8.0199770642,50.0404587156,66.7675458716
2020-06-18,AZ,43443,336289,4241,1271,0.0009009009,63.6381081081,80.1055405405,8.0675225225,50.2120495495,66.559481982
2020-06-17,AZ,40924,325269,4224,1239,0.000420354,64.1880088496,80.2948451327,8.1716814159,51.213340708,67.1122345133
2020-06-16,AZ,39097,315237,4209,1219,0.0048512586,63.9915560641,80.1197482838,8.2029061785,51.5372768879,67.0362929062
2020-06-15,AZ,36705,308552,4182,1194,0.0012946429,64.3689285714,80.8950446429,8.1028571429,50.7927901786,67.2608035714
2020-06-14,AZ,35691,302354,4148,1186,0.000520362,63.9096380091,80.4952036199,8.1163800905,50.4287104072,66.8836199095
2020-06-13,AZ,34458,293939,4115,1183,2.25225225225225E-05,64.6520945946,80.9209009009,8.2247072072,51.6429954955,67.6016216216
2020-06-12,AZ,32918,289861,4079,1144,0,64.5596721311,81.4588290398,8.1270960187,51.4277517564,67.7754332553
2020-06-11,AZ,31264,278318,4041,1127,0.0002217295,65.2128824834,81.9953658537,8.0459645233,50.6271618625,67.9327494457
2020-06-10,AZ,29852,269835,4000,1095,0.0015659955,63.4008948546,80.4760626398,7.9841834452,48.8280760626,66.2931319911
2020-06-09,AZ,28296,264917,3959,1070,0.0022883295,60.3572997712,77.5028832952,8.0371395881,46.6338215103,63.4579176201
2020-06-08,AZ,27678,260403,3911,1047,0.0004494382,60.6297078652,76.1246966292,8.2531011236,48.384988764,63.5512359551
2020-06-07,AZ,26889,254732,3847,1044,0.0006726457,62.3207847534,77.9258295964,8.2412107623,49.87367713,65.1291704036
2020-06-06,AZ,25451,246195,3777,1042,0.0030947368,62.9262315789,78.8619368421,8.2350947368,50.7063157895,66.0144421053
2020-06-05,AZ,24332,239533,3712,1012,0.0002433628,65.3265265487,82.007079646,8.1325663717,52.9634292035,68.5707522124
2020-06-04,AZ,22753,227002,3642,996,0.0023660714,65.95640625,82.6899107143,8.03390625,52.5520982143,69.0053794643
2020-06-03,AZ,22233,222292,3589,981,0.0013186813,65.8208351648,82.5870989011,8.0080659341,52.9275604396,69.0136263736
2020-06-02,AZ,21250,216583,3520,941,0.0071490281,65.0479913607,81.7738228942,8.044600432,52.2444708423,68.2073866091
2020-06-01,AZ,20123,207947,3445,917,0.0073043478,64.6702391304,81.4310652174,8.07,51.7060869565,67.8330869565
2020-05-31,AZ,19936,205270,3379,906,0.014,65.1743838384,81.8825858586,7.4975555556,52.5691717172,68.4231111111
2020-05-30,AZ,19255,197792,3334,903,0.0111836735,66.107,82.2853061224,7.487877551,53.0009795918,68.9680612245
2020-05-29,AZ,18465,191348,3281,885,0.0023157895,66.4560210526,83.3544842105,7.4501263158,52.8757894737,69.4789684211
2020-05-28,AZ,17763,185151,3223,857,0.0016981132,66.2258071279,82.91639413,7.4154716981,52.2777987421,69.0792243187
2020-05-27,AZ,17262,179004,3172,831,0,66.0251898734,82.3501265823,7.4128481013,50.7802320675,68.3299578059
2020-05-26,AZ,16783,173948,3122,807,0.000845666,63.9452854123,80.4254968288,7.3734883721,48.5405496829,66.3032346723
2020-05-25,AZ,16561,171221,3077,806,0,61.7337923729,78.0271186441,7.4225635593,47.833029661,64.4471610169
2020-05-24,AZ,16339,167302,3026,800,0.0002136752,61.3497863248,77.2327350427,7.4514102564,47.4287606838,63.8921367521
2020-05-23,AZ,16039,164400,2984,799,0.0005615551,61.4119222462,77.1791792657,7.5223110151,48.1227429806,64.0796112311
2020-05-22,AZ,15608,160395,2943,775,0.0002141328,61.7990792291,77.5499785867,7.499764454,46.9170235546,64.0090792291
2020-05-21,AZ,15315,156312,2885,763,0,59.9561764706,76.8826890756,7.3749369748,45.6545168067,62.8609453782
2020-05-20,AZ,14897,150538,2836,747,0,59.1668987342,75.9159915612,7.435,45.6663080169,62.2764767932
2020-05-19,AZ,14566,147005,2800,704,0,61.6960041841,77.5222594142,7.6425313808,48.6843514644,64.534832636
2020-05-18,AZ,14170,142303,2757,686,0.000212766,63.228106383,79.3786382979,7.5361914894,49.2166595745,65.8663404255
2020-05-17,AZ,13937,137824,2703,680,0,63.469154334,79.4380972516,7.480845666,49.4405073996,65.975961945
2020-05-16,AZ,13631,133157,2673,679,0.0002155172,62.7975862069,79.0513793103,7.3959051724,48.7804310345,65.4611206897
2020-05-15,AZ,13169,128832,2636,651,0.0018907563,61.7253361345,77.5429411765,7.4026890756,47.7241596639,64.2015756303
2020-05-14,AZ,12674,121664,2595,624,0,60.7281081081,76.9652390852,7.4447193347,47.6197505198,63.628045738
2020-05-13,AZ,12176,115574,2543,594,0,61.1067983368,76.9221205821,7.5190644491,48.2425779626,63.9141580042
2020-05-12,AZ,11736,111106,2504,562,0.0009896907,62.0560618557,77.7711958763,7.5494639175,49.0670103093,64.7861649485
2020-05-11,AZ,11380,105084,2462,542,0.050956848,62.4997185741,78.4157410882,7.5276172608,49.707054409,65.3321575985
2020-05-10,AZ,11119,99258,2421,536,0.0101014199,62.1162677485,79.0614604462,7.4622920892,50.4913387424,65.7018255578
2020-05-09,AZ,10960,94850,2386,532,0.000392562,63.5153512397,79.866838843,7.426322314,49.7701033058,66.2673140496
2020-05-08,AZ,10526,90599,2350,517,2.08333333333333E-05,63.2000416667,80.1447916667,7.4152708333,49.3566041667,66.2376458333
2020-05-07,AZ,9945,86489,2292,450,0,64.1321443299,81.2602886598,7.4323917526,49.4515876289,67.0151958763
2020-05-06,AZ,9707,82030,2244,426,0,64.0649278351,81.429443299,7.4184948454,49.2086391753,66.9898969072
2020-05-05,AZ,9305,78955,2192,395,0,62.8865848671,80.2616973415,7.3699182004,48.5945398773,65.9698977505
2020-05-04,AZ,8919,76334,2135,362,0,62.2791875,79.1650833333,7.4064166667,48.127125,65.17625
2020-05-03,AZ,8640,72479,2089,362,0,62.5441458333,78.863,7.4893541667,48.7500416667,65.3004583333
