date,awnd,prcp,tmin,tmax,tavg,tobs,state
20200301,6.5,0.13,48.0,57.0,52.0,52.37,CA 
20200302,6.5,0.13,48.0,71.0,60.0,60.3,CA 
20200303,6.5,0.13,56.0,79.0,67.0,65.64,CA 
20200304,6.5,0.13,58.0,77.0,66.0,63.17,CA 
20200305,6.5,0.13,52.0,71.0,61.0,59.99,CA 
20200306,6.5,0.13,43.0,60.0,53.0,56.24,CA 
20200307,6.5,0.13,43.0,53.0,48.0,48.95,CA 
20200308,6.5,0.13,40.0,55.0,48.0,49.01,CA 
20200309,6.5,0.13,44.0,64.0,53.0,50.0,CA 
20200310,6.5,0.13,48.0,74.0,61.0,59.62,CA 
20200311,6.5,0.13,47.0,73.0,61.0,61.86,CA 
20200312,6.5,0.13,56.0,78.0,67.0,66.97,CA 
20200313,6.5,0.13,51.0,72.0,62.0,62.89,CA 
20200314,6.5,0.13,41.0,56.0,47.0,43.45,CA 
20200315,6.5,0.13,39.0,53.0,43.0,35.97,CA 
20200316,6.5,0.13,37.0,51.0,44.0,43.77,CA 
20200317,6.5,0.13,41.0,45.0,42.0,41.49,CA 
20200318,6.5,0.13,39.0,50.0,43.0,39.97,CA 
20200319,6.5,0.13,39.0,61.0,49.0,45.24,CA 
20200320,6.5,0.13,43.0,65.0,53.0,49.57,CA 
20200321,6.5,0.13,48.0,71.0,57.0,50.33,CA 
20200322,6.5,0.13,46.0,70.0,58.0,56.8,CA 
20200323,6.5,0.13,44.0,68.0,54.0,47.99,CA 
20200324,6.5,0.13,38.0,55.0,45.0,40.85,CA 
20200325,6.5,0.13,37.0,54.0,44.0,39.77,CA 
20200326,6.5,0.13,39.0,60.0,49.0,46.57,CA 
20200327,6.5,0.13,43.0,61.0,51.0,48.26,CA 
20200328,6.5,0.13,43.0,53.0,48.0,48.95,CA 
20200329,6.5,0.13,41.0,55.0,50.0,54.74,CA 
20200330,6.5,0.13,47.0,59.0,54.0,57.26,CA 
20200331,6.5,0.13,48.0,69.0,58.0,56.32,CA 
20200401,6.85,0.1,42.0,62.0,52.0,51.16,CA 
20200402,6.85,0.1,41.0,66.0,53.0,50.06,CA 
20200403,6.85,0.1,45.0,66.0,56.0,56.39,CA 
20200404,6.85,0.1,44.0,50.0,47.0,48.72,CA 
20200405,6.85,0.1,43.0,58.0,49.0,45.61,CA 
