,date,state,positive,negative,hospitalized_currently,in_icu_currently,on_ventilator_currently,hospitalized_cumulative,in_icu_cumulative,on_ventilator_cumulative,recovered,death_increase,death,hospitalized_increase,hospitalized,positive_increase,negative_increase,positive_tests_viral,negative_tests_viral,total_test_results_increase,data_quality_grade,cases_white,cases_black,cases_latinx,cases_asian,cases_aian,cases_nhpi,cases_multiracial,cases_other,cases_unknown,deaths_white,deaths_black,deaths_latinx,deaths_asian,deaths_asian,deaths_aian,deaths_nhpi,deaths_multiracial,deaths_ethnicity_hispanic,deaths_other,deaths_unknown
0,20200715,AK,1631.0,154462.0,32.0,,0.0,,,,669.0,0,17.0,0,,52,6568,,,6620,A,672,39.0,,65.0,204.0,53.0,43.0,36.0,519.0,11.0,0.0,,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0
1,20200715,AL,59067.0,481982.0,1362.0,,,7291.0,941.0,514.0,29736.0,47,1211.0,168,7291.0,1812,10148,,,11960,B,19231,18335.0,,232.0,,,,3417.0,17855.0,593.0,516.0,,4.0,4.0,,,,35.0,23.0,75.0
2,20200715,AR,30297.0,365479.0,458.0,,94.0,1948.0,,279.0,23523.0,4,335.0,76,1948.0,564,4913,,,5477,A,14673,6444.0,,425.0,78.0,1832.0,,4138.0,2707.0,188.0,87.0,,6.0,6.0,0.0,29.0,,33.0,23.0,2.0
3,20200715,AS,0.0,816.0,,,,,,,,0,0.0,0,,0,0,,,0,C,,,,,,,,,,,,,,,,,,,,
4,20200715,AZ,131354.0,604608.0,3493.0,929.0,671.0,6103.0,,,16155.0,97,2434.0,161,6103.0,3257,10762,,,14019,A+,21232,2882.0,30361.0,968.0,8322.0,,,2508.0,65081.0,970.0,69.0,601.0,27.0,27.0,353.0,,,601.0,48.0,366.0
5,20200715,CA,347634.0,5445642.0,8353.0,2110.0,,,,,,140,7227.0,0,,11126,107195,,,118321,B,39528,9697.0,122179.0,13167.0,482.0,1348.0,1621.0,35554.0,124058.0,2190.0,621.0,3091.0,949.0,949.0,25.0,34.0,41.0,3091.0,87.0,189.0
6,20200715,CO,37686.0,372304.0,368.0,,,5963.0,,,4844.0,5,1594.0,22,5963.0,444,4591,,,5035,A,11869,1784.0,12957.0,807.0,189.0,119.0,365.0,273.0,9787.0,998.0,108.0,348.0,53.0,53.0,8.0,5.0,19.0,348.0,7.0,51.0
7,20200715,CT,47636.0,556463.0,67.0,,,10552.0,,,8351.0,8,4380.0,0,10552.0,106,12232,,,12338,B,17043,6273.0,9047.0,689.0,44.0,,139.0,291.0,14110.0,3211.0,646.0,376.0,48.0,48.0,2.0,,31.0,376.0,21.0,45.0
8,20200715,DC,11026.0,126918.0,95.0,24.0,15.0,,,,1809.0,3,571.0,0,,80,3948,,,4028,A+,2253,5431.0,,170.0,27.0,29.0,,2840.0,276.0,60.0,424.0,74.0,8.0,8.0,,,,74.0,5.0,0.0
9,20200715,DE,13050.0,130338.0,51.0,11.0,,,,,7236.0,3,521.0,0,,81,1707,,,1788,A+,4241,3333.0,3498.0,187.0,,,,623.0,1168.0,325.0,134.0,33.0,1.0,1.0,,,,33.0,6.0,22.0
10,20200715,FL,301810.0,2434143.0,8217.0,,,19659.0,,,,112,4626.0,458,19659.0,10181,40529,376345.0,3019257.0,50710,A,63104,42761.0,76269.0,,,,,10782.0,108894.0,2135.0,908.0,1164.0,,,,,,1164.0,154.0,265.0
11,20200715,GA,127834.0,1027149.0,2786.0,,,14102.0,2702.0,,,37,3091.0,417,14102.0,3871,20078,116295.0,1038688.0,23949,A,29953,33489.0,18261.0,1648.0,66.0,123.0,,3657.0,40637.0,1401.0,1436.0,171.0,49.0,49.0,4.0,6.0,,171.0,12.0,12.0
12,20200715,GU,313.0,17514.0,4.0,,,,,,213.0,0,5.0,0,,1,289,,,290,B,34,,,125.0,,123.0,,19.0,13.0,,,,,,,,,,,5.0
13,20200715,HI,1264.0,96293.0,,,,133.0,,,921.0,0,22.0,5,133.0,21,1466,,,1487,D,205,10.0,,340.0,,346.0,,26.0,365.0,,,,,,,,,,,22.0
14,20200715,IA,36291.0,351021.0,190.0,62.0,30.0,,,,27177.0,5,762.0,0,,442,6462,,,6904,A+,23973,3269.0,,2179.0,363.0,363.0,,363.0,6538.0,609.0,38.0,,23.0,23.0,7.0,15.0,,54.0,0.0,77.0
15,20200715,ID,11718.0,122196.0,129.0,33.0,,510.0,151.0,,3360.0,1,103.0,10,510.0,316,3314,,,3630,A,6057,165.0,,111.0,101.0,43.0,442.0,1371.0,4151.0,101.0,1.0,,2.0,2.0,1.0,,,8.0,1.0,0.0
16,20200715,IL,157825.0,1922908.0,1454.0,324.0,130.0,,,,,8,7427.0,0,,1187,36974,,,38161,A,34463,26330.0,49483.0,4373.0,228.0,390.0,,5827.0,36731.0,3219.0,1998.0,1491.0,346.0,346.0,10.0,8.0,,1491.0,52.0,303.0
17,20200715,IN,53370.0,533219.0,881.0,284.0,79.0,7686.0,1634.0,,39571.0,10,2785.0,53,7686.0,685,7495,,,8180,A+,24730,6311.0,,748.0,,,,9259.0,12322.0,1682.0,371.0,,13.0,13.0,,,,51.0,344.0,375.0
18,20200715,KS,20933.0,218441.0,,65.0,21.0,1393.0,418.0,159.0,948.0,11,299.0,50,1393.0,875,7324,,,8199,A,13490,1585.0,,837.0,143.0,,,1017.0,3861.0,207.0,64.0,,9.0,9.0,2.0,,,37.0,9.0,8.0
19,20200715,KY,20677.0,438510.0,445.0,92.0,,2823.0,1028.0,,5475.0,10,645.0,21,2823.0,454,3177,,,3631,B,10968,1853.0,,465.0,71.0,38.0,836.0,,6446.0,488.0,91.0,,8.0,8.0,0.0,,14.0,23.0,,44.0
20,20200715,LA,84131.0,917069.0,1369.0,,149.0,,,,53288.0,16,3461.0,0,,2089,22656,,,24745,B,,,,,,,,,84131.0,1468.0,1671.0,,23.0,23.0,4.0,5.0,,72.0,16.0,273.0
21,20200715,MA,112347.0,876366.0,580.0,80.0,40.0,11651.0,,,95390.0,28,8368.0,26,11651.0,217,10282,,,10499,A+,34409,10550.0,21915.0,2349.0,,,,5913.0,37211.0,6284.0,686.0,576.0,215.0,215.0,,,,576.0,545.0,62.0
22,20200715,MD,75016.0,605072.0,447.0,129.0,,11625.0,,,5238.0,7,3341.0,140,11625.0,756,13263,,,14019,A,15394,21784.0,19822.0,1458.0,,,,3583.0,12975.0,1431.0,1354.0,376.0,130.0,130.0,,,,376.0,36.0,14.0
23,20200715,ME,3578.0,124353.0,12.0,9.0,4.0,373.0,,,3079.0,0,114.0,0,373.0,12,2444,4415.0,122948.0,2456,A+,2154,826.0,,87.0,6.0,2.0,20.0,110.0,373.0,104.0,2.0,,,,,,,0.0,0.0,8.0
24,20200715,MI,78913.0,1289006.0,543.0,184.0,107.0,,,,53867.0,4,6330.0,0,,1049,33084,98539.0,1289006.0,34133,A+,31894,21844.0,,1647.0,308.0,,5277.0,4702.0,13241.0,3290.0,2500.0,,80.0,80.0,19.0,,104.0,126.0,121.0,216.0
25,20200715,MN,43742.0,746755.0,254.0,106.0,,4495.0,1353.0,,38179.0,10,1558.0,43,4495.0,572,12311,,,12883,A,18907,8896.0,,2980.0,350.0,94.0,733.0,5177.0,6605.0,1215.0,149.0,,65.0,65.0,29.0,3.0,22.0,62.0,17.0,18.0
26,20200715,MO,29714.0,488233.0,875.0,,86.0,,,,,9,1102.0,0,,888,11956,34290.0,611600.0,12844,B,13398,7541.0,,,,,855.0,1913.0,6007.0,643.0,380.0,,,,,,9.0,27.0,28.0,39.0
27,20200715,MP,36.0,10664.0,,,,4.0,,,29.0,0,2.0,0,4.0,3,0,,,3,D,,,,,,,,,36.0,,,,,,,,,,,2.0
28,20200715,MS,38567.0,318290.0,1099.0,240.0,132.0,3629.0,,,25932.0,18,1290.0,44,3629.0,1025,5619,,,6644,A,10810,17937.0,1693.0,124.0,1128.0,,,2531.0,4344.0,534.0,641.0,22.0,0.0,0.0,74.0,,,22.0,11.0,8.0
29,20200715,MT,2096.0,121662.0,37.0,,,145.0,,,915.0,0,34.0,9,145.0,144,2218,,,2362,C,1201,12.0,,5.0,204.0,,,26.0,648.0,17.0,,,,,10.0,,,,,7.0
