date,awnd,prcp,tmin,tmax,tavg,tobs,state
20200501,7.37,0.0,43.53,73.34,58.3,51.5,CO 
20200502,7.37,0.0,43.53,73.34,58.3,51.5,CO 
20200503,7.37,0.2,43.53,73.34,58.3,51.5,CO 
20200504,7.37,0.01,43.53,73.34,58.3,51.5,CO 
20200505,7.37,0.0,43.53,73.34,58.3,51.5,CO 
20200506,7.37,0.0,43.53,73.34,58.3,51.5,CO 
20200507,7.37,0.0,43.53,73.34,58.3,51.5,CO 
20200508,7.37,0.0,43.53,73.34,58.3,51.5,CO 
20200509,7.37,0.0,43.53,73.34,58.3,51.5,CO 
20200510,7.37,0.0,43.53,73.34,58.3,51.5,CO 
20200511,7.37,0.0,43.53,73.34,58.3,51.5,CO 
20200512,7.37,0.01,43.53,73.34,58.3,51.5,CO 
20200513,7.37,0.0,43.53,73.34,58.3,51.5,CO 
20200514,7.37,0.0,43.53,73.34,58.3,51.5,CO 
20200515,7.37,0.02,43.53,73.34,58.3,51.5,CO 
20200516,7.37,0.03,43.53,73.34,58.3,51.5,CO 
20200517,7.37,0.0,43.53,73.34,58.3,51.5,CO 
20200518,7.37,0.0,43.53,73.34,58.3,51.5,CO 
20200519,7.37,0.0,43.53,73.34,58.3,51.5,CO 
20200520,7.37,0.0,43.53,73.34,58.3,51.5,CO 
20200521,7.37,0.0,43.53,73.34,58.3,51.5,CO 
20200522,7.37,0.0,43.53,73.34,58.3,51.5,CO 
20200523,7.37,0.0,43.53,73.34,58.3,51.5,CO 
20200524,7.37,0.0,43.53,73.34,58.3,51.5,CO 
20200525,7.37,0.97,43.53,73.34,58.3,51.5,CO 
20200526,7.37,0.0,43.53,73.34,58.3,51.5,CO 
20200527,7.37,0.0,43.53,73.34,58.3,51.5,CO 
20200528,7.37,0.16,43.53,73.34,58.3,51.5,CO 
20200529,7.37,0.31,43.53,73.34,58.3,51.5,CO 
20200530,7.37,0.03,43.53,73.34,58.3,51.5,CO 
20200531,7.37,0.0,43.53,73.34,58.3,51.5,CO 
20200601,8.2,0.0,43.53,73.34,58.3,51.5,CO 
20200602,8.2,0.0,43.53,73.34,58.3,51.5,CO 
20200603,8.2,0.0,43.53,73.34,58.3,51.5,CO 
20200604,8.2,0.0,43.53,73.34,58.3,51.5,CO 
20200605,8.2,0.0,43.53,73.34,58.3,51.5,CO 
20200606,8.2,0.0,43.53,73.34,58.3,51.5,CO 
20200607,8.2,0.08,43.53,73.34,58.3,51.5,CO 
20200608,8.2,0.0,43.53,73.34,58.3,51.5,CO 
20200609,8.2,0.62,43.53,73.34,58.3,51.5,CO 
20200610,8.2,0.24,43.53,73.34,58.3,51.5,CO 
20200611,8.2,0.0,43.53,73.34,58.3,51.5,CO 
20200612,8.2,0.0,43.53,73.34,58.3,51.5,CO 
20200613,8.2,0.21,43.53,73.34,58.3,51.5,CO 
20200614,8.2,0.02,43.53,73.34,58.3,51.5,CO 
20200615,8.2,0.0,43.53,73.34,58.3,51.5,CO 
20200616,8.2,0.0,43.53,73.34,58.3,51.5,CO 
20200617,8.2,0.0,43.53,73.34,58.3,51.5,CO 
20200618,8.2,0.0,43.53,73.34,58.3,51.5,CO 
20200619,8.2,0.0,43.53,73.34,58.3,51.5,CO 
20200620,8.2,0.0,43.53,73.34,58.3,51.5,CO 
20200621,8.2,0.0,43.53,73.34,58.3,51.5,CO 
20200622,8.2,0.0,43.53,73.34,58.3,51.5,CO 
20200623,8.2,0.0,43.53,73.34,58.3,51.5,CO 
20200624,8.2,0.0,43.53,73.34,58.3,51.5,CO 
20200625,8.2,0.02,43.53,73.34,58.3,51.5,CO 
20200626,8.2,0.0,43.53,73.34,58.3,51.5,CO 
20200627,8.2,0.0,43.53,73.34,58.3,51.5,CO 
20200628,8.2,0.0,43.53,73.34,58.3,51.5,CO 
20200629,8.2,0.0,43.53,73.34,58.3,51.5,CO 
20200630,8.2,0.0,43.53,73.34,58.3,51.5,CO 
20200701,7.17,0.0,43.53,73.34,58.3,51.5,CO 
