date,awnd,prcp,tmin,tmax,tavg,tobs,state
20200301,5.81,0.0,57.49,79.27,67.89,61.97,GA 
20200302,5.81,0.0,57.49,79.27,67.89,61.97,GA 
20200303,5.81,1.37,57.49,79.27,67.89,61.97,GA 
20200304,5.81,0.0,57.49,79.27,67.89,61.97,GA 
20200306,5.81,0.2,57.49,79.27,67.89,61.97,GA 
20200307,5.81,0.0,57.49,79.27,67.89,61.97,GA 
20200308,5.81,0.0,57.49,79.27,67.89,61.97,GA 
20200309,5.81,0.0,57.49,79.27,67.89,61.97,GA 
20200310,5.81,0.0,57.49,79.27,67.89,61.97,GA 
20200311,5.81,0.0,57.49,79.27,67.89,61.97,GA 
20200312,5.81,0.0,57.49,79.27,67.89,61.97,GA 
20200313,5.81,0.0,57.49,79.27,67.89,61.97,GA 
20200314,5.81,0.0,57.49,79.27,67.89,61.97,GA 
20200315,5.81,0.0,57.49,79.27,67.89,61.97,GA 
20200316,5.81,0.0,57.49,79.27,67.89,61.97,GA 
20200319,5.81,0.2,57.49,79.27,67.89,61.97,GA 
20200320,5.81,0.0,57.49,79.27,67.89,61.97,GA 
20200321,5.81,0.0,57.49,79.27,67.89,61.97,GA 
20200322,5.81,0.0,57.49,79.27,67.89,61.97,GA 
20200323,5.81,0.38,57.49,79.27,67.89,61.97,GA 
20200324,5.81,2.0,57.49,79.27,67.89,61.97,GA 
20200325,5.81,0.5,57.49,79.27,67.89,61.97,GA 
20200326,5.81,0.0,57.49,79.27,67.89,61.97,GA 
20200327,5.81,0.0,57.49,79.27,67.89,61.97,GA 
20200328,5.81,0.0,57.49,79.27,67.89,61.97,GA 
20200329,5.81,0.0,57.49,79.27,67.89,61.97,GA 
20200330,5.81,0.0,57.49,79.27,67.89,61.97,GA 
20200331,5.81,0.0,57.49,79.27,67.89,61.97,GA 
20200401,6.33,0.35,57.49,79.27,67.89,61.97,GA 
20200402,6.33,0.0,57.49,79.27,67.89,61.97,GA 
20200403,6.33,0.0,57.49,79.27,67.89,61.97,GA 
20200404,6.33,0.0,57.49,79.27,67.89,61.97,GA 
20200405,6.33,0.0,57.49,79.27,67.89,61.97,GA 
20200406,6.33,0.0,57.49,79.27,67.89,61.97,GA 
20200407,6.33,0.0,57.49,79.27,67.89,61.97,GA 
20200408,6.33,0.0,57.49,79.27,67.89,61.97,GA 
20200409,6.33,0.0,57.49,79.27,67.89,61.97,GA 
20200410,6.33,0.0,57.49,79.27,67.89,61.97,GA 
20200411,6.33,0.0,57.49,79.27,67.89,61.97,GA 
20200412,6.33,0.0,57.49,79.27,67.89,61.97,GA 
20200413,6.33,0.74,57.49,79.27,67.89,61.97,GA 
20200414,6.33,0.0,57.49,79.27,67.89,61.97,GA 
20200415,6.33,0.0,57.49,79.27,67.89,61.97,GA 
20200416,6.33,0.0,57.49,79.27,67.89,61.97,GA 
20200417,6.33,0.0,57.49,79.27,67.89,61.97,GA 
20200418,6.33,0.0,57.49,79.27,67.89,61.97,GA 
20200419,6.33,0.0,57.49,79.27,67.89,61.97,GA 
20200420,6.33,1.8,57.49,79.27,67.89,61.97,GA 
20200421,6.33,0.0,57.49,79.27,67.89,61.97,GA 
20200422,6.33,0.0,57.49,79.27,67.89,61.97,GA 
20200423,6.33,0.13,57.49,79.27,67.89,61.97,GA 
20200424,6.33,0.87,57.49,79.27,67.89,61.97,GA 
20200425,6.33,0.0,57.49,79.27,67.89,61.97,GA 
20200426,6.33,0.0,57.49,79.27,67.89,61.97,GA 
20200427,6.33,0.0,57.49,79.27,67.89,61.97,GA 
20200428,6.33,0.0,57.49,79.27,67.89,61.97,GA 
20200429,6.33,0.0,57.49,79.27,67.89,61.97,GA 
20200430,6.33,1.33,57.49,79.27,67.89,61.97,GA 
20200501,5.72,0.0,57.49,79.27,67.89,61.97,GA 
20200502,5.72,0.0,57.49,79.27,67.89,61.97,GA 
20200503,5.72,0.0,57.49,79.27,67.89,61.97,GA 
20200504,5.72,0.0,57.49,79.27,67.89,61.97,GA 
20200505,5.72,0.0,57.49,79.27,67.89,61.97,GA 
20200506,5.72,0.0,57.49,79.27,67.89,61.97,GA 
20200507,5.72,0.0,57.49,79.27,67.89,61.97,GA 
20200508,5.72,0.0,57.49,79.27,67.89,61.97,GA 
20200509,5.72,0.0,57.49,79.27,67.89,61.97,GA 
20200510,5.72,0.0,57.49,79.27,67.89,61.97,GA 
20200511,5.72,0.0,57.49,79.27,67.89,61.97,GA 
20200512,5.72,0.0,57.49,79.27,67.89,61.97,GA 
20200513,5.72,0.0,57.49,79.27,67.89,61.97,GA 
20200514,5.72,0.0,57.49,79.27,67.89,61.97,GA 
20200515,5.72,0.0,57.49,79.27,67.89,61.97,GA 
20200516,5.72,0.0,57.49,79.27,67.89,61.97,GA 
20200517,5.72,0.0,57.49,79.27,67.89,61.97,GA 
20200518,5.72,0.0,57.49,79.27,67.89,61.97,GA 
20200519,5.72,2.6,57.49,79.27,67.89,61.97,GA 
20200520,5.72,0.0,57.49,79.27,67.89,61.97,GA 
20200521,5.72,0.0,57.49,79.27,67.89,61.97,GA 
20200522,5.72,0.0,57.49,79.27,67.89,61.97,GA 
20200523,5.72,0.0,57.49,79.27,67.89,61.97,GA 
20200524,5.72,0.0,57.49,79.27,67.89,61.97,GA 
20200525,5.72,0.0,57.49,79.27,67.89,61.97,GA 
20200526,5.72,0.05,57.49,79.27,67.89,61.97,GA 
20200527,5.72,0.23,57.49,79.27,67.89,61.97,GA 
20200529,5.72,0.13,57.49,79.27,67.89,61.97,GA 
20200530,5.72,0.0,57.49,79.27,67.89,61.97,GA 
20200531,5.72,0.0,57.49,79.27,67.89,61.97,GA 
20200601,5.14,0.0,57.49,79.27,67.89,61.97,GA 
20200602,5.14,0.0,57.49,79.27,67.89,61.97,GA 
20200603,5.14,0.0,57.49,79.27,67.89,61.97,GA 
20200604,5.14,0.0,57.49,79.27,67.89,61.97,GA 
20200606,5.14,0.16,57.49,79.27,67.89,61.97,GA 
20200607,5.14,0.0,57.49,79.27,67.89,61.97,GA 
20200608,5.14,0.0,57.49,79.27,67.89,61.97,GA 
20200609,5.14,0.06,57.49,79.27,67.89,61.97,GA 
20200611,5.14,0.16,57.49,79.27,67.89,61.97,GA 
20200612,5.14,0.0,57.49,79.27,67.89,61.97,GA 
20200613,5.14,0.0,57.49,79.27,67.89,61.97,GA 
20200614,5.14,0.0,57.49,79.27,67.89,61.97,GA 
20200615,5.14,0.0,57.49,79.27,67.89,61.97,GA 
20200616,5.14,0.0,57.49,79.27,67.89,61.97,GA 
20200617,5.14,0.0,57.49,79.27,67.89,61.97,GA 
20200618,5.14,0.0,57.49,79.27,67.89,61.97,GA 
20200619,5.14,0.0,57.49,79.27,67.89,61.97,GA 
20200620,5.14,0.22,57.49,79.27,67.89,61.97,GA 
20200621,5.14,0.0,57.49,79.27,67.89,61.97,GA 
20200622,5.14,0.0,57.49,79.27,67.89,61.97,GA 
20200626,5.14,0.16,57.49,79.27,67.89,61.97,GA 
20200627,5.14,0.0,57.49,79.27,67.89,61.97,GA 
20200628,5.14,0.44,57.49,79.27,67.89,61.97,GA 
20200629,5.14,0.0,57.49,79.27,67.89,61.97,GA 
20200630,5.14,0.0,57.49,79.27,67.89,61.97,GA 
20200701,4.28,0.11,57.49,79.27,67.89,61.97,GA 
20200702,4.28,0.0,57.49,79.27,67.89,61.97,GA 
20200703,4.28,0.0,57.49,79.27,67.89,61.97,GA 
20200704,4.28,0.0,57.49,79.27,67.89,61.97,GA 
20200705,4.28,0.0,57.49,79.27,67.89,61.97,GA 
20200706,4.28,0.0,57.49,79.27,67.89,61.97,GA 
20200708,4.28,0.14,57.49,79.27,67.89,61.97,GA 
20200709,4.28,0.0,57.49,79.27,67.89,61.97,GA 
20200710,4.28,0.0,57.49,79.27,67.89,61.97,GA 
20200711,4.28,0.0,57.49,79.27,67.89,61.97,GA 
20200712,4.28,0.0,57.49,79.27,67.89,61.97,GA 
20200713,4.28,0.0,57.49,79.27,67.89,61.97,GA 
20200714,4.28,0.0,57.49,79.27,67.89,61.97,GA 
20200715,4.28,0.0,57.49,79.27,67.89,61.97,GA 
20200716,4.28,0.0,57.49,79.27,67.89,61.97,GA 
20200717,4.28,0.0,57.49,79.27,67.89,61.97,GA 
20200718,4.28,0.0,57.49,79.27,67.89,61.97,GA 
20200719,4.28,0.0,57.49,79.27,67.89,61.97,GA 
20200720,4.28,0.0,57.49,79.27,67.89,61.97,GA 
20200301,5.81,0.0,32.0,62.0,45.9,33.0,GA 
20200302,5.81,0.0,33.0,66.0,52.87,51.0,GA 
20200303,5.81,0.0,50.0,73.0,63.47,63.0,GA 
20200304,5.81,0.3,62.0,76.0,68.31,65.0,GA 
20200305,5.81,4.7,55.0,65.0,59.66,58.0,GA 
20200306,5.81,2.2,49.0,58.0,52.54,49.0,GA 
20200307,5.81,0.0,36.0,65.0,49.34,37.0,GA 
20200308,5.81,0.0,37.0,59.0,46.83,37.0,GA 
20200309,5.81,0.0,37.0,66.0,52.21,45.0,GA 
20200310,5.81,0.0,45.0,73.0,61.17,59.0,GA 
20200311,5.81,0.0,56.0,76.0,64.68,57.0,GA 
20200312,5.81,0.0,57.0,79.0,66.3,57.0,GA 
