date,awnd,prcp,tmin,tmax,tavg,tobs,state
20200328,9.98,1.83,48.4,68.5,58.41,53.84,IL 
20200429,9.69,0.25,48.4,68.5,58.41,53.84,IL 
20200505,8.54,0.47,48.4,68.5,58.41,53.84,IL 
20200301,9.98,0.0,13.0,39.0,30.43,35.0,IL 
20200302,9.98,0.0,30.0,62.0,43.33,30.0,IL 
20200303,9.98,0.0,28.0,43.0,35.4,32.0,IL 
20200304,9.98,0.0,30.0,50.0,39.5,34.0,IL 
20200305,9.98,0.0,28.0,50.0,39.85,37.0,IL 
20200306,9.98,0.0,30.0,53.0,39.55,30.0,IL 
20200307,9.98,0.0,22.0,44.0,32.33,26.0,IL 
20200308,9.98,0.0,26.0,55.0,40.78,35.0,IL 
20200309,9.98,0.11,35.0,67.0,51.66,46.0,IL 
20200310,9.98,0.62,36.0,54.0,43.46,36.0,IL 
20200311,9.98,0.02,35.0,40.0,37.91,38.0,IL 
20200312,9.98,0.0,35.0,45.0,40.31,39.0,IL 
20200313,9.98,0.0,32.0,56.0,41.97,32.0,IL 
20200314,9.98,0.0,32.0,49.0,39.94,35.0,IL 
20200315,9.98,0.21,30.0,36.0,32.41,30.0,IL 
20200316,9.98,0.0,30.0,38.0,33.86,32.0,IL 
20200317,9.98,0.01,31.0,39.0,34.25,31.0,IL 
20200318,9.98,0.0,31.0,48.0,40.75,40.0,IL 
20200319,9.98,0.41,40.0,46.0,43.03,42.0,IL 
20200320,9.98,0.27,38.0,63.0,48.4,38.0,IL 
20200321,9.98,0.0,28.0,38.0,32.09,28.0,IL 
20200322,9.98,0.0,23.0,37.0,29.36,25.0,IL 
20200323,9.98,0.17,25.0,35.0,29.99,28.0,IL 
20200324,9.98,0.0,27.0,40.0,34.16,33.0,IL 
20200325,9.98,0.0,33.0,46.0,39.57,37.0,IL 
20200326,9.98,0.0,37.0,54.0,44.95,40.0,IL 
20200327,9.98,0.25,38.0,51.0,43.67,39.0,IL 
20200328,9.98,0.05,39.0,52.0,47.69,50.0,IL 
20200329,9.98,0.41,40.0,66.0,51.13,41.0,IL 
20200330,9.98,0.01,38.0,51.0,43.36,38.0,IL 
20200331,9.98,0.0,34.0,59.0,44.4,34.0,IL 
20200401,9.69,0.0,31.0,44.0,36.35,31.0,IL 
20200402,9.69,0.0,31.0,57.0,43.93,38.0,IL 
20200403,9.69,0.0,38.0,63.0,51.73,49.0,IL 
20200404,9.69,0.0,30.0,68.0,46.15,31.0,IL 
20200405,9.69,0.0,30.0,53.0,41.06,35.0,IL 
20200406,9.69,0.0,33.0,60.0,45.14,36.0,IL 
20200407,9.69,0.0,36.0,66.0,54.85,57.0,IL 
20200408,9.69,0.01,44.0,78.0,58.8,46.0,IL 
20200409,9.69,0.06,38.0,78.0,54.7,38.0,IL 
20200410,9.69,0.0,29.0,48.0,36.87,29.0,IL 
20200411,9.69,0.0,29.0,53.0,42.9,42.0,IL 
20200412,9.69,0.27,41.0,66.0,53.83,49.0,IL 
20200413,9.69,0.21,32.0,65.0,45.75,32.0,IL 
20200414,9.69,0.0,25.0,41.0,31.9,26.0,IL 
20200415,9.69,0.06,25.0,42.0,32.02,25.0,IL 
20200416,9.69,0.0,24.0,40.0,31.21,26.0,IL 
20200417,9.69,0.56,26.0,44.0,34.96,31.0,IL 
20200418,9.69,0.04,31.0,43.0,36.24,32.0,IL 
20200419,9.69,0.0,32.0,59.0,46.86,44.0,IL 
20200420,9.69,0.0,29.0,61.0,42.93,31.0,IL 
20200421,9.69,0.0,31.0,63.0,46.14,37.0,IL 
20200422,9.69,0.0,32.0,55.0,43.37,38.0,IL 
20200423,9.69,0.01,38.0,75.0,58.28,54.0,IL 
