date,awnd,prcp,tmin,tmax,tavg,tobs,state
20200301,9.38,0.0,47.82,68.56,58.2,54.22,IN 
20200302,9.38,0.43,47.82,68.56,58.2,54.22,IN 
20200303,9.38,0.59,47.82,68.56,58.2,54.22,IN 
20200304,9.38,0.0,47.82,68.56,58.2,54.22,IN 
20200305,9.38,0.0,47.82,68.56,58.2,54.22,IN 
20200306,9.38,0.0,47.82,68.56,58.2,54.22,IN 
20200307,9.38,0.0,47.82,68.56,58.2,54.22,IN 
20200308,9.38,0.0,47.82,68.56,58.2,54.22,IN 
20200309,9.38,0.0,47.82,68.56,58.2,54.22,IN 
20200310,9.38,0.5,47.82,68.56,58.2,54.22,IN 
20200311,9.38,0.02,47.82,68.56,58.2,54.22,IN 
20200312,9.38,0.03,47.82,68.56,58.2,54.22,IN 
20200313,9.38,0.21,47.82,68.56,58.2,54.22,IN 
20200314,9.38,0.0,47.82,68.56,58.2,54.22,IN 
20200315,9.38,0.32,47.82,68.56,58.2,54.22,IN 
20200316,9.38,0.0,47.82,68.56,58.2,54.22,IN 
20200317,9.38,0.03,47.82,68.56,58.2,54.22,IN 
20200318,9.38,0.0,47.82,68.56,58.2,54.22,IN 
20200319,9.38,0.53,47.82,68.56,58.2,54.22,IN 
20200320,9.38,0.58,47.82,68.56,58.2,54.22,IN 
20200321,9.38,0.0,47.82,68.56,58.2,54.22,IN 
20200322,9.38,0.0,47.82,68.56,58.2,54.22,IN 
20200323,9.38,0.18,47.82,68.56,58.2,54.22,IN 
20200324,9.38,0.03,47.82,68.56,58.2,54.22,IN 
20200325,9.38,0.08,47.82,68.56,58.2,54.22,IN 
20200326,9.38,0.0,47.82,68.56,58.2,54.22,IN 
20200327,9.38,0.07,47.82,68.56,58.2,54.22,IN 
20200328,9.38,0.07,47.82,68.56,58.2,54.22,IN 
20200329,9.38,1.03,47.82,68.56,58.2,54.22,IN 
20200330,9.38,0.0,47.82,68.56,58.2,54.22,IN 
20200331,9.38,0.0,47.82,68.56,58.2,54.22,IN 
20200401,8.93,0.03,47.82,68.56,58.2,54.22,IN 
20200402,8.93,0.0,47.82,68.56,58.2,54.22,IN 
20200403,8.93,0.0,47.82,68.56,58.2,54.22,IN 
20200404,8.93,0.0,47.82,68.56,58.2,54.22,IN 
20200405,8.93,0.03,47.82,68.56,58.2,54.22,IN 
20200406,8.93,0.0,47.82,68.56,58.2,54.22,IN 
20200407,8.93,0.0,47.82,68.56,58.2,54.22,IN 
20200408,8.93,0.0,47.82,68.56,58.2,54.22,IN 
20200409,8.93,0.25,47.82,68.56,58.2,54.22,IN 
20200410,8.93,0.0,47.82,68.56,58.2,54.22,IN 
20200411,8.93,0.0,47.82,68.56,58.2,54.22,IN 
20200412,8.93,0.1,47.82,68.56,58.2,54.22,IN 
20200413,8.93,0.02,47.82,68.56,58.2,54.22,IN 
20200414,8.93,0.01,47.82,68.56,58.2,54.22,IN 
20200415,8.93,0.0,47.82,68.56,58.2,54.22,IN 
20200416,8.93,0.04,47.82,68.56,58.2,54.22,IN 
20200417,8.93,0.04,47.82,68.56,58.2,54.22,IN 
20200418,8.93,0.23,47.82,68.56,58.2,54.22,IN 
20200419,8.93,0.0,47.82,68.56,58.2,54.22,IN 
20200420,8.93,0.0,47.82,68.56,58.2,54.22,IN 
20200421,8.93,0.0,47.82,68.56,58.2,54.22,IN 
20200422,8.93,0.0,47.82,68.56,58.2,54.22,IN 
20200423,8.93,0.0,47.82,68.56,58.2,54.22,IN 
20200424,8.93,0.32,47.82,68.56,58.2,54.22,IN 
20200425,8.93,0.0,47.82,68.56,58.2,54.22,IN 
20200426,8.93,0.6,47.82,68.56,58.2,54.22,IN 
20200427,8.93,0.04,47.82,68.56,58.2,54.22,IN 
20200428,8.93,0.02,47.82,68.56,58.2,54.22,IN 
20200429,8.93,0.02,47.82,68.56,58.2,54.22,IN 
20200430,8.93,0.27,47.82,68.56,58.2,54.22,IN 
20200501,8.07,0.01,47.82,68.56,58.2,54.22,IN 
20200502,8.07,0.0,47.82,68.56,58.2,54.22,IN 
20200503,8.07,0.66,47.82,68.56,58.2,54.22,IN 
20200504,8.07,0.02,47.82,68.56,58.2,54.22,IN 
20200505,8.07,0.1,47.82,68.56,58.2,54.22,IN 
20200506,8.07,0.09,47.82,68.56,58.2,54.22,IN 
20200507,8.07,0.0,47.82,68.56,58.2,54.22,IN 
20200508,8.07,0.05,47.82,68.56,58.2,54.22,IN 
20200509,8.07,0.02,47.82,68.56,58.2,54.22,IN 
20200510,8.07,0.0,47.82,68.56,58.2,54.22,IN 
20200511,8.07,0.05,47.82,68.56,58.2,54.22,IN 
20200512,8.07,0.0,47.82,68.56,58.2,54.22,IN 
20200513,8.07,0.0,47.82,68.56,58.2,54.22,IN 
20200514,8.07,0.03,47.82,68.56,58.2,54.22,IN 
20200515,8.07,0.2,47.82,68.56,58.2,54.22,IN 
20200516,8.07,0.06,47.82,68.56,58.2,54.22,IN 
20200517,8.07,0.08,47.82,68.56,58.2,54.22,IN 
20200518,8.07,1.75,47.82,68.56,58.2,54.22,IN 
20200519,8.07,0.24,47.82,68.56,58.2,54.22,IN 
20200520,8.07,0.09,47.82,68.56,58.2,54.22,IN 
20200521,8.07,0.0,47.82,68.56,58.2,54.22,IN 
20200522,8.07,0.0,47.82,68.56,58.2,54.22,IN 
20200523,8.07,0.0,47.82,68.56,58.2,54.22,IN 
20200524,8.07,0.17,47.82,68.56,58.2,54.22,IN 
20200525,8.07,0.2,47.82,68.56,58.2,54.22,IN 
20200526,8.07,0.62,47.82,68.56,58.2,54.22,IN 
20200527,8.07,0.0,47.82,68.56,58.2,54.22,IN 
20200528,8.07,0.09,47.82,68.56,58.2,54.22,IN 
20200529,8.07,0.77,47.82,68.56,58.2,54.22,IN 
20200530,8.07,0.0,47.82,68.56,58.2,54.22,IN 
20200531,8.07,0.0,47.82,68.56,58.2,54.22,IN 
20200601,7.16,0.0,47.82,68.56,58.2,54.22,IN 
20200602,7.16,0.0,47.82,68.56,58.2,54.22,IN 
20200603,7.16,0.0,47.82,68.56,58.2,54.22,IN 
20200604,7.16,0.33,47.82,68.56,58.2,54.22,IN 
20200605,7.16,0.0,47.82,68.56,58.2,54.22,IN 
20200606,7.16,0.0,47.82,68.56,58.2,54.22,IN 
20200607,7.16,0.0,47.82,68.56,58.2,54.22,IN 
20200608,7.16,0.0,47.82,68.56,58.2,54.22,IN 
20200609,7.16,0.0,47.82,68.56,58.2,54.22,IN 
20200610,7.16,0.26,47.82,68.56,58.2,54.22,IN 
20200611,7.16,0.41,47.82,68.56,58.2,54.22,IN 
20200612,7.16,0.0,47.82,68.56,58.2,54.22,IN 
20200613,7.16,0.0,47.82,68.56,58.2,54.22,IN 
20200614,7.16,0.0,47.82,68.56,58.2,54.22,IN 
20200615,7.16,0.0,47.82,68.56,58.2,54.22,IN 
20200616,7.16,0.0,47.82,68.56,58.2,54.22,IN 
20200617,7.16,0.0,47.82,68.56,58.2,54.22,IN 
20200618,7.16,0.0,47.82,68.56,58.2,54.22,IN 
20200619,7.16,0.0,47.82,68.56,58.2,54.22,IN 
20200620,7.16,0.0,47.82,68.56,58.2,54.22,IN 
20200621,7.16,0.0,47.82,68.56,58.2,54.22,IN 
20200622,7.16,0.59,47.82,68.56,58.2,54.22,IN 
20200623,7.16,1.14,47.82,68.56,58.2,54.22,IN 
20200624,7.16,0.0,47.82,68.56,58.2,54.22,IN 
20200625,7.16,0.0,47.82,68.56,58.2,54.22,IN 
20200626,7.16,0.0,47.82,68.56,58.2,54.22,IN 
20200627,7.16,0.08,47.82,68.56,58.2,54.22,IN 
20200628,7.16,0.78,47.82,68.56,58.2,54.22,IN 
20200629,7.16,0.04,47.82,68.56,58.2,54.22,IN 
20200630,7.16,1.02,47.82,68.56,58.2,54.22,IN 
