date,awnd,prcp,tmin,tmax,tavg,tobs,state
20200301,4.92,0.0,19.0,51.0,38.59,40.0,MD 
20200302,6.93,0.14,29.0,64.0,48.76,47.0,MD 
20200303,6.93,0.21,42.0,60.0,50.13,44.0,MD 
20200304,10.07,0.0,40.0,62.0,51.24,47.0,MD 
20200305,6.04,0.0,32.0,52.0,42.51,39.0,MD 
20200306,10.07,0.01,32.0,49.0,41.66,40.0,MD 
20200307,12.08,0.0,31.0,50.0,38.97,31.0,MD 
20200308,6.04,0.0,27.0,62.0,47.08,46.0,MD 
20200309,6.93,0.0,42.0,75.0,60.59,59.0,MD 
20200310,8.05,0.19,51.0,66.0,57.28,51.0,MD 
20200311,4.03,0.0,34.0,51.0,42.72,39.0,MD 
20200312,6.93,0.0,38.0,66.0,54.05,53.0,MD 
20200313,12.08,0.24,49.0,71.0,58.63,51.0,MD 
20200314,6.04,0.1,38.0,54.0,44.76,38.0,MD 
20200315,4.03,0.13,34.0,51.0,41.48,35.0,MD 
20200316,6.93,0.0,30.0,52.0,43.78,45.0,MD 
20200317,6.93,0.0,42.0,60.0,51.05,47.0,MD 
20200318,6.04,0.18,32.0,54.0,45.45,46.0,MD 
20200319,4.92,0.35,46.0,68.0,56.58,51.0,MD 
20200320,8.95,0.01,50.0,83.0,67.61,64.0,MD 
20200321,10.07,0.0,41.0,64.0,50.46,41.0,MD 
20200322,8.05,0.0,31.0,50.0,42.06,41.0,MD 
20200323,6.04,0.1,37.0,42.0,40.72,41.0,MD 
20200324,4.92,0.0,41.0,52.0,47.34,46.0,MD 
20200325,6.04,0.39,40.0,48.0,44.25,42.0,MD 
20200326,6.93,0.0,40.0,60.0,52.0,52.0,MD 
20200327,2.91,0.01,47.0,66.0,58.57,59.0,MD 
20200328,4.92,0.59,51.0,59.0,54.56,51.0,MD 
20200329,4.03,0.02,47.0,63.0,53.7,47.0,MD 
20200330,10.07,0.0,40.0,69.0,54.89,50.0,MD 
20200331,4.92,0.16,42.0,51.0,46.01,42.0,MD 
20200401,9.32,0.07,39.0,54.0,47.52,46.0,MD 
20200402,9.32,0.0,35.0,61.0,50.3,50.0,MD 
20200403,9.32,0.0,42.0,65.0,53.61,49.0,MD 
20200404,9.32,0.0,46.0,59.0,52.77,50.0,MD 
20200405,9.32,0.0,39.0,69.0,56.75,57.0,MD 
20200406,9.32,0.0,46.0,67.0,54.65,46.0,MD 
20200407,9.32,0.06,46.0,65.0,57.27,57.0,MD 
20200408,9.32,0.2,51.0,74.0,60.39,51.0,MD 
20200409,9.32,0.37,43.0,65.0,52.37,44.0,MD 
20200410,9.32,0.0,38.0,48.0,42.73,39.0,MD 
20200411,9.32,0.0,36.0,60.0,47.43,41.0,MD 
20200412,9.32,0.35,33.0,68.0,54.59,57.0,MD 
20200413,9.32,1.03,49.0,73.0,58.79,49.0,MD 
20200414,9.32,0.24,33.0,53.0,41.96,35.0,MD 
20200415,9.32,0.01,32.0,53.0,42.9,39.0,MD 
20200416,9.32,0.0,32.0,50.0,39.58,32.0,MD 
20200417,9.32,0.08,28.0,56.0,45.05,46.0,MD 
20200418,9.32,0.16,37.0,54.0,44.15,37.0,MD 
20200419,9.32,0.0,30.0,62.0,49.52,51.0,MD 
20200420,9.32,0.0,43.0,63.0,51.28,43.0,MD 
20200421,9.32,0.04,38.0,61.0,48.1,40.0,MD 
20200422,9.32,0.0,34.0,57.0,47.52,47.0,MD 
20200423,9.32,0.1,39.0,59.0,51.01,51.0,MD 
20200424,9.32,0.28,48.0,56.0,51.58,48.0,MD 
20200425,9.32,0.02,43.0,65.0,54.53,51.0,MD 
20200426,9.32,0.58,43.0,51.0,46.61,43.0,MD 
20200427,9.32,0.05,40.0,58.0,48.14,42.0,MD 
20200428,9.32,0.06,37.0,55.0,48.25,49.0,MD 
20200429,9.32,0.01,40.0,73.0,59.84,61.0,MD 
20200430,9.32,1.67,53.0,64.0,57.71,53.0,MD 
20200501,8.84,0.0,48.0,64.0,56.23,53.0,MD 
20200502,8.84,0.0,44.0,71.0,60.55,62.0,MD 
20200503,8.84,0.32,57.0,76.0,66.34,62.0,MD 
20200504,8.84,0.01,50.0,69.0,57.84,50.0,MD 
20200505,8.84,0.04,42.0,55.0,49.11,47.0,MD 
20200506,8.84,0.35,42.0,53.0,46.79,42.0,MD 
20200507,8.84,0.0,34.0,67.0,54.49,57.0,MD 
20200508,8.84,0.63,38.0,57.0,45.92,38.0,MD 
20200509,8.84,0.0,32.0,47.0,39.03,34.0,MD 
20200510,8.84,0.0,31.0,65.0,50.67,50.0,MD 
20200511,8.84,0.0,44.0,57.0,49.86,45.0,MD 
20200512,8.84,0.0,42.0,61.0,51.75,48.0,MD 
20200513,8.84,0.0,37.0,69.0,52.45,45.0,MD 
20200514,8.84,0.0,40.0,71.0,59.99,64.0,MD 
20200515,8.84,0.0,62.0,87.0,76.11,75.0,MD 
20200516,8.84,0.0,61.0,79.0,68.38,61.0,MD 
20200517,8.84,0.08,58.0,65.0,61.43,59.0,MD 
20200518,8.84,0.0,57.0,70.0,64.32,63.0,MD 
20200519,8.84,0.0,56.0,70.0,61.86,56.0,MD 
20200520,8.84,0.0,51.0,65.0,57.51,53.0,MD 
20200521,8.84,0.0,47.0,72.0,62.44,64.0,MD 
20200522,8.84,0.49,60.0,66.0,63.34,62.0,MD 
20200523,8.84,0.02,61.0,82.0,71.71,68.0,MD 
20200524,8.84,0.0,61.0,68.0,64.1,61.0,MD 
20200525,8.84,0.0,60.0,76.0,67.54,63.0,MD 
20200526,8.84,0.0,57.0,84.0,70.99,67.0,MD 
20200527,8.84,0.0,63.0,79.0,72.06,71.0,MD 
20200528,8.84,0.03,69.0,86.0,77.79,75.0,MD 
20200529,8.84,0.45,69.0,89.0,77.72,71.0,MD 
20200530,8.84,0.0,64.0,80.0,70.58,64.0,MD 
20200531,8.84,0.0,50.0,72.0,61.17,57.0,MD 
20200601,7.24,0.0,44.0,74.0,59.25,54.0,MD 
20200602,7.24,0.01,49.0,78.0,66.29,67.0,MD 
20200603,7.24,0.0,66.0,90.0,79.38,78.0,MD 
20200604,7.24,0.1,69.0,90.0,77.8,70.0,MD 
20200605,7.24,0.03,67.0,81.0,74.02,71.0,MD 
20200606,7.24,0.0,69.0,90.0,77.49,69.0,MD 
20200607,7.24,0.0,57.0,80.0,67.59,61.0,MD 
20200608,7.24,0.0,54.0,83.0,68.48,63.0,MD 
20200609,7.24,0.0,57.0,91.0,77.42,79.0,MD 
20200610,7.24,0.01,74.0,92.0,82.22,77.0,MD 
20200611,7.24,0.08,67.0,84.0,73.95,67.0,MD 
20200612,7.24,0.0,57.0,86.0,72.08,68.0,MD 
20200613,7.24,0.0,54.0,76.0,65.45,62.0,MD 
20200614,7.24,0.01,55.0,72.0,64.81,64.0,MD 
20200615,7.24,0.0,56.0,78.0,67.13,63.0,MD 
20200616,7.24,0.0,57.0,78.0,68.04,65.0,MD 
20200617,7.24,0.07,62.0,76.0,69.36,67.0,MD 
20200618,7.24,0.19,65.0,81.0,71.88,66.0,MD 
20200619,7.24,0.35,64.0,84.0,73.68,69.0,MD 
20200620,7.24,0.01,64.0,82.0,72.59,68.0,MD 
20200621,7.24,0.0,63.0,85.0,75.01,73.0,MD 
20200622,7.24,0.13,66.0,91.0,76.99,69.0,MD 
20200623,7.24,0.68,65.0,88.0,76.15,71.0,MD 
20200624,7.24,0.0,63.0,84.0,73.39,69.0,MD 
20200625,7.24,0.02,62.0,84.0,72.78,68.0,MD 
20200626,7.24,0.0,61.0,87.0,75.81,75.0,MD 
20200627,7.24,0.0,70.0,85.0,78.01,76.0,MD 
20200628,7.24,0.0,68.0,90.0,79.36,76.0,MD 
20200629,7.24,0.0,65.0,91.0,77.62,72.0,MD 
20200630,7.24,0.0,68.0,91.0,79.13,74.0,MD 
20200701,6.08,0.08,66.0,87.0,75.44,69.0,MD 
20200702,6.08,0.0,63.0,93.0,78.43,74.0,MD 
20200703,6.08,0.0,66.0,96.0,82.33,80.0,MD 
20200704,6.08,0.0,69.0,95.0,81.91,77.0,MD 
20200705,6.08,0.0,70.0,96.0,83.21,79.0,MD 
20200706,6.08,0.0,71.0,96.0,82.27,75.0,MD 
20200707,6.08,0.02,70.0,87.0,78.78,76.0,MD 
20200708,6.08,0.0,71.0,93.0,82.34,79.0,MD 
20200709,6.08,0.0,71.0,93.0,81.1,75.0,MD 
20200710,6.08,0.29,71.0,91.0,79.09,71.0,MD 
20200711,6.08,0.0,71.0,86.0,77.46,72.0,MD 
20200712,6.08,0.21,64.0,89.0,75.62,69.0,MD 
20200713,6.08,0.31,65.0,86.0,75.37,71.0,MD 
20200714,6.08,0.0,63.0,88.0,74.94,69.0,MD 
20200715,6.08,0.0,62.0,91.0,78.59,78.0,MD 
20200716,6.08,0.16,74.0,88.0,80.66,77.0,MD 
20200717,6.08,0.01,73.0,93.0,82.0,76.0,MD 
20200718,6.08,0.0,67.0,96.0,82.32,79.0,MD 
20200719,6.08,0.0,71.0,98.0,85.52,83.0,MD 
20200720,6.08,0.0,80.0,98.0,87.25,80.0,MD 
20200301,7.6,0.0,49.96,69.64,59.9,55.9,MD 
20200302,7.6,0.0,49.96,69.64,59.9,55.9,MD 
20200303,7.6,0.14,49.96,69.64,59.9,55.9,MD 
20200304,7.6,0.04,49.96,69.64,59.9,55.9,MD 
20200306,7.6,0.0,49.96,69.64,59.9,55.9,MD 
20200307,7.6,0.0,49.96,69.64,59.9,55.9,MD 
20200308,7.6,0.0,49.96,69.64,59.9,55.9,MD 
20200311,7.6,0.0,49.96,69.64,59.9,55.9,MD 
20200312,7.6,0.0,49.96,69.64,59.9,55.9,MD 
20200313,7.6,0.21,49.96,69.64,59.9,55.9,MD 
20200314,7.6,0.0,49.96,69.64,59.9,55.9,MD 
20200315,7.6,0.24,49.96,69.64,59.9,55.9,MD 
20200316,7.6,0.0,49.96,69.64,59.9,55.9,MD 
20200317,7.6,0.01,49.96,69.64,59.9,55.9,MD 
20200318,7.6,0.0,49.96,69.64,59.9,55.9,MD 
20200319,7.6,0.74,49.96,69.64,59.9,55.9,MD 
20200320,7.6,0.03,49.96,69.64,59.9,55.9,MD 
20200321,7.6,0.02,49.96,69.64,59.9,55.9,MD 
20200322,7.6,0.0,49.96,69.64,59.9,55.9,MD 
20200323,7.6,0.14,49.96,69.64,59.9,55.9,MD 
20200324,7.6,0.17,49.96,69.64,59.9,55.9,MD 
20200325,7.6,0.09,49.96,69.64,59.9,55.9,MD 
20200326,7.6,0.24,49.96,69.64,59.9,55.9,MD 
20200327,7.6,0.01,49.96,69.64,59.9,55.9,MD 
20200328,7.6,0.39,49.96,69.64,59.9,55.9,MD 
20200329,7.6,0.09,49.96,69.64,59.9,55.9,MD 
20200330,7.6,0.0,49.96,69.64,59.9,55.9,MD 
20200331,7.6,0.0,49.96,69.64,59.9,55.9,MD 
20200401,9.32,0.21,49.96,69.64,59.9,55.9,MD 
20200402,9.32,0.0,49.96,69.64,59.9,55.9,MD 
20200403,9.32,0.0,49.96,69.64,59.9,55.9,MD 
20200404,9.32,0.0,49.96,69.64,59.9,55.9,MD 
20200405,9.32,0.0,49.96,69.64,59.9,55.9,MD 
20200406,9.32,0.03,49.96,69.64,59.9,55.9,MD 
20200407,9.32,0.03,49.96,69.64,59.9,55.9,MD 
20200408,9.32,0.31,49.96,69.64,59.9,55.9,MD 
20200409,9.32,0.12,49.96,69.64,59.9,55.9,MD 
20200410,9.32,0.02,49.96,69.64,59.9,55.9,MD 
20200411,9.32,0.0,49.96,69.64,59.9,55.9,MD 
20200412,9.32,0.0,49.96,69.64,59.9,55.9,MD 
20200413,9.32,1.61,49.96,69.64,59.9,55.9,MD 
20200414,9.32,0.79,49.96,69.64,59.9,55.9,MD 
20200415,9.32,0.31,49.96,69.64,59.9,55.9,MD 
20200416,9.32,0.0,49.96,69.64,59.9,55.9,MD 
20200417,9.32,0.0,49.96,69.64,59.9,55.9,MD 
20200418,9.32,0.07,49.96,69.64,59.9,55.9,MD 
20200419,9.32,0.01,49.96,69.64,59.9,55.9,MD 
20200420,9.32,0.0,49.96,69.64,59.9,55.9,MD 
20200421,9.32,0.0,49.96,69.64,59.9,55.9,MD 
20200422,9.32,0.02,49.96,69.64,59.9,55.9,MD 
20200423,9.32,0.0,49.96,69.64,59.9,55.9,MD 
20200424,9.32,0.91,49.96,69.64,59.9,55.9,MD 
20200425,9.32,0.06,49.96,69.64,59.9,55.9,MD 
20200426,9.32,0.33,49.96,69.64,59.9,55.9,MD 
20200427,9.32,0.12,49.96,69.64,59.9,55.9,MD 
20200428,9.32,0.0,49.96,69.64,59.9,55.9,MD 
20200429,9.32,0.03,49.96,69.64,59.9,55.9,MD 
20200430,9.32,0.01,49.96,69.64,59.9,55.9,MD 
20200501,8.84,1.3,49.96,69.64,59.9,55.9,MD 
20200502,8.84,0.06,49.96,69.64,59.9,55.9,MD 
20200503,8.84,0.0,49.96,69.64,59.9,55.9,MD 
20200504,8.84,0.54,49.96,69.64,59.9,55.9,MD 
20200505,8.84,0.0,49.96,69.64,59.9,55.9,MD 
20200506,8.84,0.27,49.96,69.64,59.9,55.9,MD 
20200507,8.84,0.33,49.96,69.64,59.9,55.9,MD 
20200508,8.84,0.0,49.96,69.64,59.9,55.9,MD 
20200509,8.84,0.25,49.96,69.64,59.9,55.9,MD 
20200510,8.84,0.0,49.96,69.64,59.9,55.9,MD 
20200511,8.84,0.02,49.96,69.64,59.9,55.9,MD 
20200512,8.84,0.0,49.96,69.64,59.9,55.9,MD 
20200513,8.84,0.0,49.96,69.64,59.9,55.9,MD 
20200514,8.84,0.0,49.96,69.64,59.9,55.9,MD 
