date,awnd,prcp,tmin,tmax,tavg,tobs,state
20200301,8.87,0.0,17.0,52.0,41.9,49.0,MI 
20200302,8.87,0.0,29.0,49.0,42.38,45.0,MI 
20200303,8.87,0.01,21.0,45.0,35.58,35.0,MI 
20200304,8.87,0.0,28.0,42.0,37.23,39.0,MI 
20200305,8.87,0.0,19.0,48.0,39.44,45.0,MI 
20200306,8.87,0.1,27.0,45.0,36.47,33.0,MI 
20200307,8.87,0.0,12.0,48.0,37.68,45.0,MI 
20200308,8.87,0.0,30.0,64.0,54.07,61.0,MI 
20200309,8.87,0.0,43.0,61.0,54.18,55.0,MI 
20200310,8.87,0.83,28.0,55.0,45.67,48.0,MI 
20200311,8.87,0.01,28.0,48.0,40.77,42.0,MI 
20200312,8.87,0.0,30.0,52.0,46.07,52.0,MI 
20200313,8.87,0.12,32.0,52.0,42.92,40.0,MI 
20200314,8.87,0.0,24.0,40.0,34.14,35.0,MI 
20200315,8.87,0.01,17.0,44.0,35.66,40.0,MI 
20200316,8.87,0.0,18.0,45.0,36.35,40.0,MI 
20200317,8.87,0.0,30.0,47.0,41.75,45.0,MI 
20200318,8.87,0.0,23.0,45.0,39.12,45.0,MI 
20200319,8.87,0.0,26.0,47.0,41.36,47.0,MI 
20200320,8.87,0.74,25.0,59.0,41.18,30.0,MI 
20200321,8.87,0.0,13.0,35.0,28.59,33.0,MI 
20200322,8.87,0.0,14.0,38.0,31.37,37.0,MI 
20200323,8.87,0.2,24.0,39.0,34.31,37.0,MI 
20200324,8.87,0.0,24.0,48.0,40.69,45.0,MI 
20200325,8.87,0.0,22.0,58.0,47.61,55.0,MI 
20200326,8.87,0.0,35.0,55.0,48.03,50.0,MI 
20200327,8.87,0.0,30.0,54.0,47.56,54.0,MI 
20200328,8.87,1.27,34.0,54.0,45.82,45.0,MI 
20200329,8.87,0.61,37.0,55.0,46.09,42.0,MI 
20200330,8.87,0.16,32.0,43.0,39.28,41.0,MI 
20200331,8.87,0.0,30.0,42.0,38.65,42.0,MI 
20200401,8.72,0.0,34.0,50.0,45.28,49.0,MI 
20200402,8.72,0.0,27.0,62.0,52.14,60.0,MI 
20200403,8.72,0.0,29.0,64.0,54.12,62.0,MI 
20200404,8.72,0.1,40.0,62.0,50.82,45.0,MI 
20200405,8.72,0.0,26.0,56.0,47.43,54.0,MI 
20200406,8.72,0.0,25.0,63.0,52.07,60.0,MI 
20200407,8.72,0.12,42.0,72.0,63.31,70.0,MI 
20200408,8.72,0.02,39.0,70.0,59.86,64.0,MI 
20200409,8.72,0.32,33.0,64.0,47.81,38.0,MI 
20200410,8.72,0.05,26.0,43.0,37.48,40.0,MI 
