date,awnd,prcp,tmin,tmax,tavg,tobs,state
20200301,8.77,0.0,51.18,71.87,61.38,55.76,MO 
20200302,8.77,0.0,51.18,71.87,61.38,55.76,MO 
20200303,8.77,0.0,51.18,71.87,61.38,55.76,MO 
20200304,8.77,0.0,51.18,71.87,61.38,55.76,MO 
20200305,8.77,0.0,51.18,71.87,61.38,55.76,MO 
20200306,8.77,0.0,51.18,71.87,61.38,55.76,MO 
20200307,8.77,0.0,51.18,71.87,61.38,55.76,MO 
20200308,8.77,0.0,51.18,71.87,61.38,55.76,MO 
20200309,8.77,0.3,51.18,71.87,61.38,55.76,MO 
20200310,8.77,1.16,51.18,71.87,61.38,55.76,MO 
20200311,8.77,0.0,51.18,71.87,61.38,55.76,MO 
20200312,8.77,0.0,51.18,71.87,61.38,55.76,MO 
20200313,8.77,0.21,51.18,71.87,61.38,55.76,MO 
20200314,8.77,0.19,51.18,71.87,61.38,55.76,MO 
20200315,8.77,0.24,51.18,71.87,61.38,55.76,MO 
20200316,8.77,0.02,51.18,71.87,61.38,55.76,MO 
20200317,8.77,0.16,51.18,71.87,61.38,55.76,MO 
20200318,8.77,0.09,51.18,71.87,61.38,55.76,MO 
20200319,8.77,1.43,51.18,71.87,61.38,55.76,MO 
20200320,8.77,0.53,51.18,71.87,61.38,55.76,MO 
20200321,8.77,0.0,51.18,71.87,61.38,55.76,MO 
20200322,8.77,0.0,51.18,71.87,61.38,55.76,MO 
20200323,8.77,0.55,51.18,71.87,61.38,55.76,MO 
20200324,8.77,0.05,51.18,71.87,61.38,55.76,MO 
20200325,8.77,0.37,51.18,71.87,61.38,55.76,MO 
20200326,8.77,0.0,51.18,71.87,61.38,55.76,MO 
20200327,8.77,0.83,51.18,71.87,61.38,55.76,MO 
20200328,8.77,0.0,51.18,71.87,61.38,55.76,MO 
20200329,8.77,0.24,51.18,71.87,61.38,55.76,MO 
20200330,8.77,0.0,51.18,71.87,61.38,55.76,MO 
20200331,8.77,0.0,51.18,71.87,61.38,55.76,MO 
20200401,8.52,0.0,51.18,71.87,61.38,55.76,MO 
20200402,8.52,0.0,51.18,71.87,61.38,55.76,MO 
20200403,8.52,0.0,51.18,71.87,61.38,55.76,MO 
20200404,8.52,0.44,51.18,71.87,61.38,55.76,MO 
20200405,8.52,0.0,51.18,71.87,61.38,55.76,MO 
20200406,8.52,0.0,51.18,71.87,61.38,55.76,MO 
20200407,8.52,0.0,51.18,71.87,61.38,55.76,MO 
20200408,8.52,0.0,51.18,71.87,61.38,55.76,MO 
20200409,8.52,0.0,51.18,71.87,61.38,55.76,MO 
20200410,8.52,0.0,51.18,71.87,61.38,55.76,MO 
20200411,8.52,0.0,51.18,71.87,61.38,55.76,MO 
20200412,8.52,0.32,51.18,71.87,61.38,55.76,MO 
20200413,8.52,0.18,51.18,71.87,61.38,55.76,MO 
20200414,8.52,0.0,51.18,71.87,61.38,55.76,MO 
20200415,8.52,0.0,51.18,71.87,61.38,55.76,MO 
20200416,8.52,0.0,51.18,71.87,61.38,55.76,MO 
20200417,8.52,0.27,51.18,71.87,61.38,55.76,MO 
20200418,8.52,0.0,51.18,71.87,61.38,55.76,MO 
20200419,8.52,0.0,51.18,71.87,61.38,55.76,MO 
20200420,8.52,0.0,51.18,71.87,61.38,55.76,MO 
