date,awnd,prcp,tmin,tmax,tavg,tobs,state
20200312,8.55,0.1,42.55,63.4,52.95,49.02,NY 
20200313,8.55,0.24,42.55,63.4,52.95,49.02,NY 
20200314,8.55,0.0,42.55,63.4,52.95,49.02,NY 
20200315,8.55,0.0,42.55,63.4,52.95,49.02,NY 
20200316,8.55,0.0,42.55,63.4,52.95,49.02,NY 
20200317,8.55,0.03,42.55,63.4,52.95,49.02,NY 
20200318,8.55,0.02,42.55,63.4,52.95,49.02,NY 
20200319,8.55,0.61,42.55,63.4,52.95,49.02,NY 
20200320,8.55,0.12,42.55,63.4,52.95,49.02,NY 
20200321,8.55,0.29,42.55,63.4,52.95,49.02,NY 
20200322,8.55,0.0,42.55,63.4,52.95,49.02,NY 
20200323,8.55,0.05,42.55,63.4,52.95,49.02,NY 
20200324,8.55,0.21,42.55,63.4,52.95,49.02,NY 
20200325,8.55,0.01,42.55,63.4,52.95,49.02,NY 
20200326,8.55,0.0,42.55,63.4,52.95,49.02,NY 
20200327,8.55,0.12,42.55,63.4,52.95,49.02,NY 
20200328,8.55,0.49,42.55,63.4,52.95,49.02,NY 
20200329,8.55,0.72,42.55,63.4,52.95,49.02,NY 
20200330,8.55,0.13,42.55,63.4,52.95,49.02,NY 
20200331,8.55,0.06,42.55,63.4,52.95,49.02,NY 
20200401,9.5,0.0,42.55,63.4,52.95,49.02,NY 
20200402,9.5,0.01,42.55,63.4,52.95,49.02,NY 
20200403,9.5,0.0,42.55,63.4,52.95,49.02,NY 
20200404,9.5,0.0,42.55,63.4,52.95,49.02,NY 
20200405,9.5,0.0,42.55,63.4,52.95,49.02,NY 
20200406,9.5,0.0,42.55,63.4,52.95,49.02,NY 
20200407,9.5,0.0,42.55,63.4,52.95,49.02,NY 
20200408,9.5,0.51,42.55,63.4,52.95,49.02,NY 
20200409,9.5,0.02,42.55,63.4,52.95,49.02,NY 
20200410,9.5,0.18,42.55,63.4,52.95,49.02,NY 
20200411,9.5,0.15,42.55,63.4,52.95,49.02,NY 
20200412,9.5,0.18,42.55,63.4,52.95,49.02,NY 
20200413,9.5,0.18,42.55,63.4,52.95,49.02,NY 
20200414,9.5,0.71,42.55,63.4,52.95,49.02,NY 
