date,awnd,prcp,tmin,tmax,tavg,tobs,state
20200301,9.84,0.0,19.0,51.0,35.05,31.14,OH 
20200302,8.95,0.06,46.0,51.0,49.01,45.6,OH 
20200303,13.42,1.02,40.0,54.0,47.32,43.54,OH 
20200304,10.51,0.0,33.0,57.0,45.12,40.93,OH 
20200305,5.37,0.0,25.0,54.0,39.56,35.5,OH 
20200306,14.32,0.0,32.0,44.0,38.47,35.42,OH 
20200307,6.93,0.0,29.0,45.0,37.39,34.2,OH 
20200308,9.17,0.0,30.0,63.0,46.39,41.62,OH 
20200309,15.21,0.0,48.0,65.0,56.64,52.03,OH 
20200310,12.53,0.27,42.0,58.0,50.24,46.14,OH 
20200311,4.03,0.01,42.0,51.0,46.94,43.46,OH 
20200312,6.71,0.05,45.0,64.0,54.62,50.04,OH 
20200313,14.54,0.06,38.0,57.0,47.7,43.61,OH 
20200314,5.14,0.27,32.0,41.0,37.06,34.28,OH 
20200315,9.62,0.0,29.0,48.0,38.81,35.35,OH 
20200316,4.92,0.02,27.0,48.0,37.77,34.28,OH 
20200317,6.49,0.0,30.0,46.0,38.38,35.12,OH 
20200318,5.82,1.02,28.0,52.0,40.17,36.34,OH 
20200319,8.28,0.37,43.0,66.0,54.53,49.74,OH 
20200320,17.22,1.48,37.0,70.0,53.31,48.05,OH 
20200321,11.41,0.0,27.0,37.0,32.59,30.07,OH 
20200322,6.04,0.04,23.0,46.0,34.76,31.37,OH 
20200323,5.59,0.03,40.0,47.0,44.03,40.86,OH 
20200324,6.26,0.0,39.0,48.0,43.98,40.71,OH 
20200325,5.82,0.0,36.0,61.0,48.55,44.07,OH 
20200326,8.95,0.09,44.0,68.0,55.99,51.04,OH 
20200327,6.93,0.25,49.0,58.0,53.86,49.89,OH 
20200328,8.5,0.97,54.0,75.0,64.46,59.07,OH 
20200329,18.12,0.72,54.0,68.0,61.16,56.4,OH 
20200330,14.54,0.0,42.0,54.0,48.36,44.61,OH 
20200331,7.16,0.0,38.0,46.0,42.52,39.41,OH 
20200401,10.07,0.0,39.0,50.0,44.92,41.47,OH 
20200402,8.95,0.0,33.0,59.0,46.06,41.7,OH 
20200403,6.93,0.0,34.0,65.0,49.4,44.53,OH 
20200404,3.58,0.0,38.0,70.0,53.82,48.59,OH 
20200405,8.28,0.35,36.0,53.0,44.78,41.01,OH 
20200406,4.47,0.0,30.0,65.0,47.33,42.39,OH 
20200407,7.61,0.88,51.0,76.0,63.38,57.85,OH 
20200408,7.61,0.68,55.0,72.0,63.56,58.46,OH 
20200409,17.67,0.01,35.0,55.0,45.21,41.24,OH 
20200410,12.75,0.0,33.0,45.0,39.46,36.34,OH 
20200411,6.04,0.0,29.0,57.0,43.05,38.79,OH 
20200412,9.4,0.34,43.0,63.0,53.11,48.59,OH 
20200413,13.42,0.32,39.0,59.0,49.16,44.91,OH 
20200414,8.28,0.0,30.0,45.0,37.91,34.74,OH 
20200415,10.96,0.02,25.0,52.0,38.62,34.73,OH 
20200416,9.62,0.0,23.0,48.0,35.7,32.13,OH 
20200417,8.95,0.22,36.0,48.0,42.43,39.1,OH 
20200418,9.4,0.0,33.0,52.0,42.76,39.02,OH 
20200419,8.72,0.0,38.0,60.0,49.11,44.76,OH 
20200420,7.38,0.0,35.0,60.0,47.56,43.15,OH 
20200421,16.11,0.0,32.0,54.0,43.18,39.25,OH 
20200422,4.7,0.0,27.0,59.0,42.95,38.48,OH 
20200423,6.93,0.13,43.0,56.0,49.82,45.91,OH 
20200424,8.5,0.0,45.0,65.0,55.09,50.42,OH 
20200425,9.62,0.2,45.0,69.0,56.98,51.96,OH 
20200426,14.76,0.67,40.0,50.0,45.44,42.01,OH 
20200427,5.82,0.0,36.0,62.0,49.02,44.45,OH 
20200428,8.95,0.11,49.0,73.0,60.93,55.63,OH 
20200429,12.97,0.51,52.0,71.0,61.54,56.47,OH 
20200430,11.63,0.08,45.0,52.0,48.97,45.45,OH 
20200501,8.72,0.0,45.0,61.0,53.21,48.89,OH 
20200502,11.41,0.0,49.0,79.0,63.75,57.92,OH 
20200503,9.17,0.1,52.0,73.0,62.48,57.24,OH 
20200504,9.17,0.0,45.0,62.0,53.68,49.28,OH 
20200505,11.41,0.04,38.0,52.0,45.35,41.7,OH 
20200506,9.17,0.03,38.0,57.0,47.7,43.61,OH 
20200507,12.08,0.0,35.0,67.0,50.86,45.83,OH 
20200508,9.4,0.12,33.0,56.0,44.64,40.55,OH 
20200509,10.07,0.0,28.0,51.0,39.7,35.96,OH 
20200510,12.08,0.25,38.0,64.0,51.0,46.29,OH 
20200511,10.29,0.02,37.0,45.0,41.53,38.49,OH 
20200512,6.93,0.0,29.0,58.0,43.52,39.17,OH 
20200513,3.8,0.0,34.0,66.0,49.87,44.91,OH 
20200514,8.5,0.36,51.0,75.0,62.91,57.47,OH 
20200515,10.96,0.09,55.0,76.0,65.45,59.99,OH 
20200516,4.92,0.0,55.0,78.0,66.39,60.76,OH 
20200517,6.71,0.0,61.0,83.0,71.85,65.88,OH 
20200518,8.5,2.51,62.0,74.0,68.12,62.98,OH 
20200519,15.21,1.58,51.0,62.0,56.78,52.49,OH 
20200520,12.75,0.03,47.0,57.0,52.36,48.44,OH 
20200521,9.17,0.28,52.0,62.0,57.3,53.03,OH 
20200522,3.13,0.01,57.0,73.0,65.07,59.92,OH 
20200523,2.68,0.0,53.0,81.0,66.77,60.83,OH 
20200524,4.7,0.0,66.0,87.0,76.32,70.09,OH 
20200525,4.7,0.0,64.0,87.0,75.28,69.02,OH 
