date,awnd,prcp,tmin,tmax,tavg,tobs,state
20200301,7.62,0.0,44.44,66.19,55.27,49.68,PA 
20200302,7.62,0.0,44.44,66.19,55.27,49.68,PA 
20200303,7.62,0.08,44.44,66.19,55.27,49.68,PA 
20200304,7.62,0.6,44.44,66.19,55.27,49.68,PA 
20200305,7.62,0.03,44.44,66.19,55.27,49.68,PA 
20200306,7.62,0.0,44.44,66.19,55.27,49.68,PA 
20200307,7.62,0.02,44.44,66.19,55.27,49.68,PA 
20200308,7.62,0.0,44.44,66.19,55.27,49.68,PA 
20200309,7.62,0.0,44.44,66.19,55.27,49.68,PA 
20200310,7.62,0.1,44.44,66.19,55.27,49.68,PA 
20200311,7.62,0.18,44.44,66.19,55.27,49.68,PA 
20200312,7.62,0.0,44.44,66.19,55.27,49.68,PA 
20200313,7.62,0.05,44.44,66.19,55.27,49.68,PA 
20200314,7.62,0.0,44.44,66.19,55.27,49.68,PA 
20200315,7.62,0.04,44.44,66.19,55.27,49.68,PA 
20200316,7.62,0.0,44.44,66.19,55.27,49.68,PA 
20200317,7.62,0.06,44.44,66.19,55.27,49.68,PA 
20200318,7.62,0.01,44.44,66.19,55.27,49.68,PA 
20200319,7.62,1.08,44.44,66.19,55.27,49.68,PA 
20200320,7.62,0.51,44.44,66.19,55.27,49.68,PA 
20200321,7.62,0.57,44.44,66.19,55.27,49.68,PA 
20200322,7.62,0.0,44.44,66.19,55.27,49.68,PA 
20200323,7.62,0.05,44.44,66.19,55.27,49.68,PA 
20200324,7.62,0.57,44.44,66.19,55.27,49.68,PA 
20200325,7.62,0.1,44.44,66.19,55.27,49.68,PA 
20200326,7.62,0.01,44.44,66.19,55.27,49.68,PA 
20200327,7.62,0.15,44.44,66.19,55.27,49.68,PA 
20200328,7.62,0.28,44.44,66.19,55.27,49.68,PA 
20200329,7.62,1.02,44.44,66.19,55.27,49.68,PA 
20200330,7.62,0.0,44.44,66.19,55.27,49.68,PA 
