"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SN32","SN32_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","SX32","SX32_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-03-01","4.92",",,7",,,,,,,"0.00",",,7,2400",,,"0.0",",,7,2400","0.0",",,7,2400",,,,,"51",",,7","19",",,7","40",",,7,2400",,,,,"  270",",,7",,,,,,,,,"19.9",",,7",,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-03-02","6.93",",,7",,,,,,,"0.14",",,7,2400",,,"0.0",",,7,2400","0.0",",,7,2400",,,,,"64",",,7","29",",,7","47",",,7,2400",,,,,"  180",",,7",,,,,,,,,"29.1",",,7",,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-03-03","6.93",",,7",,,,,,,"0.21",",,7,2400",,,"0.0",",,7,2400","0.0",",,7,2400",,,,,"60",",,7","42",",,7","44",",,7,2400",,,,,"  292",",,7",,,,,,,,,"48.1",",,7",,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-03-04","10.07",",,7",,,,,,,"0.00",",,7,2400",,,"0.0",",,7,2400","0.0",",,7,2400",,,,,"62",",,7","40",",,7","47",",,7,2400",,,,,"  270",",,7",,,,,,,,,"31.1",",,7",,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-03-05","6.04",",,7",,,,,,,"0.00",",,7,2400",,,"0.0",",,7,2400","0.0",",,7,2400",,,,,"52",",,7","32",",,7","39",",,7,2400",,,,,"  315",",,7",,,,,,,,,"30.0",",,7",,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-03-06","10.07",",,7",,,,,,,"0.01",",,7,2400",,,"0.0",",,7,2400","0.0",",,7,2400",,,,,"49",",,7","32",",,7","40",",,7,2400",,,,,"  315",",,7",,,,,,,,,"32.0",",,7",,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-03-07","12.08",",,7",,,,,,,"0.00",",,7,2400",,,"0.0",",,7,2400","0.0",",,7,2400",,,,,"50",",,7","31",",,7","31",",,7,2400",,,,,"  338",",,7",,,,,,,,,"29.1",",,7",,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-03-08","6.04",",,7",,,,,,,"0.00",",,7,2400",,,"0.0",",,7,2400","0.0",",,7,2400",,,,,"62",",,7","27",",,7","46",",,7,2400",,,,,"  180",",,7",,,,,,,,,"23.0",",,7",,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-03-09","6.93",",,7",,,,,,,"0.00",",,7,2400",,,"0.0",",,7,2400","0.0",",,7,2400",,,,,"75",",,7","42",",,7","59",",,7,2400",,,,,"  202",",,7",,,,,,,,,"21.9",",,7",,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-03-10","8.05",",,7",,,,,,,"0.19",",,7,2400",,,"0.0",",,7,2400","0.0",",,7,2400",,,,,"66",",,7","51",",,7","51",",,7,2400",,,,,"  202",",,7",,,,,,,,,"32.0",",,7",,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-03-11","4.03",",,7",,,,,,,"0.00",",,7,2400",,,"0.0",",,7,2400","0.0",",,7,2400",,,,,"51",",,7","34",",,7","39",",,7,2400",,,,,"  315",",,7",,,,,,,,,"19.0",",,7",,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-03-12","6.93",",,7",,,,,,,"0.00",",,7,2400",,,"0.0",",,7,2400","0.0",",,7,2400",,,,,"66",",,7","38",",,7","53",",,7,2400",,,,,"  135",",,7",,,,,,,,,"21.9",",,7",,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-03-13","12.08",",,7",,,,,,,"0.24",",,7,2400",,,"0.0",",,7,2400","0.0",",,7,2400",,,,,"71",",,7","49",",,7","51",",,7,2400",,,,,"  270",",,7",,,,,,,,,"45.0",",,7",,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-03-14","6.04",",,7",,,,,,,"0.10",",,7,2400",,,"0.0",",,7,2400","0.0",",,7,2400",,,,,"54",",,7","38",",,7","38",",,7,2400",,,,,"  315",",,7",,,,,,,,,"29.1",",,7",,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-03-15","4.03",",,7",,,,,,,"0.13",",,7,2400",,,"0.0",",,7,2400","0.0",",,7,2400",,,,,"51",",,7","34",",,7","35",",,7,2400",,,,,"   22",",,7",,,,,,,,,"14.1",",,7",,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-03-16","6.93",",,7",,,,,,,"0.00",",,7,2400",,,"0.0",",,7,2400","0.0",",,7,2400",,,,,"52",",,7","30",",,7","45",",,7,2400",,,,,"  180",",,7",,,,,,,,,"23.9",",,7",,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-03-17","6.93",",,7",,,,,,,"0.00","T,,7,2400",,,"0.0",",,7,2400","0.0",",,7,2400",,,,,"60",",,7","42",",,7","47",",,7,2400",,,,,"  270",",,7",,,,,,,,,"23.9",",,7",,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-03-18","6.04",",,7",,,,,,,"0.18",",,7,2400",,,"0.0",",,7,2400","0.0",",,7,2400",,,,,"54",",,7","32",",,7","46",",,7,2400",,,,,"  135",",,7",,,,,,,,,"23.9",",,7",,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-03-19","4.92",",,7",,,,,,,"0.35",",,7,2400",,,"0.0",",,7,2400","0.0",",,7,2400",,,,,"68",",,7","46",",,7","51",",,7,2400",,,,,"  180",",,7",,,,,,,,,"23.9",",,7",,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-03-20","8.95",",,7",,,,,,,"0.01",",,7,2400",,,"0.0",",,7,2400","0.0",",,7,2400",,,,,"83",",,7","50",",,7","64",",,7,2400",,,,,"  248",",,7",,,,,,,,,"36.9",",,7",,,,,,,,,,,,
"USC00181790","HAGERSTOWN 1 E, MD US","39.64034","-77.69778","162.2","2020-03-21","10.07",",,7",,,,,,,"0.00",",,7,2400",,,"0.0",",,7,2400","0.0",",,7,2400",,,,,"64",",,7","41",",,7","41",",,7,2400",,,,,"  338",",,7",,,,,,,,,"34.0",",,7",,,,,,,,,,,,
