date,awnd,prcp,tmin,tmax,tavg,tobs,state
20200301,6.55,0.0,56.58,78.23,66.99,62.19,SC 
20200302,6.55,0.0,56.58,78.23,66.99,62.19,SC 
20200303,6.55,0.45,56.58,78.23,66.99,62.19,SC 
20200304,6.55,0.22,56.58,78.23,66.99,62.19,SC 
20200305,6.55,0.73,56.58,78.23,66.99,62.19,SC 
20200306,6.55,0.96,56.58,78.23,66.99,62.19,SC 
20200307,6.55,0.0,56.58,78.23,66.99,62.19,SC 
20200308,6.55,0.0,56.58,78.23,66.99,62.19,SC 
20200309,6.55,0.0,56.58,78.23,66.99,62.19,SC 
20200310,6.55,0.0,56.58,78.23,66.99,62.19,SC 
20200311,6.55,0.04,56.58,78.23,66.99,62.19,SC 
20200312,6.55,0.0,56.58,78.23,66.99,62.19,SC 
20200313,6.55,0.0,56.58,78.23,66.99,62.19,SC 
20200314,6.55,0.0,56.58,78.23,66.99,62.19,SC 
20200315,6.55,0.04,56.58,78.23,66.99,62.19,SC 
20200316,6.55,0.0,56.58,78.23,66.99,62.19,SC 
20200317,6.55,0.02,56.58,78.23,66.99,62.19,SC 
20200318,6.55,0.11,56.58,78.23,66.99,62.19,SC 
20200319,6.55,0.0,56.58,78.23,66.99,62.19,SC 
20200320,6.55,0.0,56.58,78.23,66.99,62.19,SC 
20200321,6.55,0.0,56.58,78.23,66.99,62.19,SC 
20200322,6.55,0.0,56.58,78.23,66.99,62.19,SC 
20200323,6.55,0.17,56.58,78.23,66.99,62.19,SC 
20200324,6.55,0.15,56.58,78.23,66.99,62.19,SC 
20200325,6.55,1.27,56.58,78.23,66.99,62.19,SC 
20200326,6.55,0.0,56.58,78.23,66.99,62.19,SC 
20200327,6.55,0.0,56.58,78.23,66.99,62.19,SC 
20200328,6.55,0.0,56.58,78.23,66.99,62.19,SC 
20200329,6.55,0.0,56.58,78.23,66.99,62.19,SC 
20200330,6.55,0.0,56.58,78.23,66.99,62.19,SC 
20200331,6.55,0.0,56.58,78.23,66.99,62.19,SC 
20200401,7.36,0.29,56.58,78.23,66.99,62.19,SC 
20200402,7.36,0.0,56.58,78.23,66.99,62.19,SC 
20200403,7.36,0.0,56.58,78.23,66.99,62.19,SC 
20200404,7.36,0.0,56.58,78.23,66.99,62.19,SC 
20200405,7.36,0.0,56.58,78.23,66.99,62.19,SC 
20200406,7.36,0.0,56.58,78.23,66.99,62.19,SC 
20200407,7.36,0.0,56.58,78.23,66.99,62.19,SC 
20200408,7.36,0.0,56.58,78.23,66.99,62.19,SC 
20200409,7.36,0.0,56.58,78.23,66.99,62.19,SC 
20200410,7.36,0.0,56.58,78.23,66.99,62.19,SC 
20200411,7.36,0.0,56.58,78.23,66.99,62.19,SC 
