date,awnd,prcp,tmin,tmax,tavg,tobs,state
20200712,9.58,0.0,74.0,94.0,85.52,86.0,TX 
20200713,9.58,0.0,76.0,95.0,85.73,83.0,TX 
20200714,9.58,0.0,77.0,95.0,85.46,81.0,TX 
20200715,9.58,0.0,76.0,93.0,83.24,77.0,TX 
20200701,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200702,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200703,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200704,9.58,1.2,74.48,97.47,85.23,77.94,TX 
20200705,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200706,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200707,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200708,9.58,0.05,74.48,97.47,85.23,77.94,TX 
20200709,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200710,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200711,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200712,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200713,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200714,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200715,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200716,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200717,9.58,0.3,74.48,97.47,85.23,77.94,TX 
20200718,9.58,0.62,74.48,97.47,85.23,77.94,TX 
20200719,9.58,0.01,74.48,97.47,85.23,77.94,TX 
20200720,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200701,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200702,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200703,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200704,9.58,0.8,74.48,97.47,85.23,77.94,TX 
20200705,9.58,0.01,74.48,97.47,85.23,77.94,TX 
20200706,9.58,0.01,74.48,97.47,85.23,77.94,TX 
20200707,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200708,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200709,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200710,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200711,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200712,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200713,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200714,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200715,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200716,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200717,9.58,0.13,74.48,97.47,85.23,77.94,TX 
20200718,9.58,1.96,74.48,97.47,85.23,77.94,TX 
20200719,9.58,0.01,74.48,97.47,85.23,77.94,TX 
20200720,9.58,0.01,74.48,97.47,85.23,77.94,TX 
20200701,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200702,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200703,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200704,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200705,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200706,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200707,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200708,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200709,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200710,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200711,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200712,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200713,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200714,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200715,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200716,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200717,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200718,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200719,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200720,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200701,9.58,0.0,81.0,90.0,84.33,82.0,TX 
20200702,9.58,0.0,81.0,90.0,84.58,83.0,TX 
20200703,9.58,0.0,80.0,88.0,82.87,81.0,TX 
20200704,9.58,0.0,78.0,88.0,81.87,79.0,TX 
20200705,9.58,0.0,79.0,88.0,82.62,81.0,TX 
20200706,9.58,0.0,80.0,89.0,83.6,82.0,TX 
20200707,9.58,0.0,80.0,89.0,83.35,81.0,TX 
20200708,9.58,0.0,80.0,89.0,83.35,81.0,TX 
20200709,9.58,0.0,80.0,89.0,83.09,80.0,TX 
20200710,9.58,0.0,80.0,88.0,82.87,81.0,TX 
20200711,9.58,0.0,79.0,89.0,83.1,81.0,TX 
20200712,9.58,0.0,79.0,88.0,82.11,79.0,TX 
20200713,9.58,0.0,77.0,88.0,81.36,78.0,TX 
20200714,9.58,0.0,77.0,87.0,80.89,78.0,TX 
20200715,9.58,0.0,77.0,88.0,81.62,79.0,TX 
20200716,9.58,0.0,75.78,87.0,80.84,79.0,TX 
20200717,9.58,0.0,79.0,88.0,82.62,81.0,TX 
20200718,9.58,0.0,79.0,88.0,82.37,80.0,TX 
20200719,9.58,0.0,77.0,87.0,81.14,79.0,TX 
20200720,9.58,0.0,77.0,86.0,80.41,78.0,TX 
20200701,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200702,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200703,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200704,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200705,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200706,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200707,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200708,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200709,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200711,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200712,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200713,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200714,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200715,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200716,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200717,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200718,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200719,9.58,0.65,74.48,97.47,85.23,77.94,TX 
20200720,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200701,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200702,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200703,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200704,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200705,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200706,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200707,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200708,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200709,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200710,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200711,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200712,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200713,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200714,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200715,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200716,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200717,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200718,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200719,9.58,0.02,74.48,97.47,85.23,77.94,TX 
20200720,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200720,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200701,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200702,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200703,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200704,9.58,0.69,74.48,97.47,85.23,77.94,TX 
20200705,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200706,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200707,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200708,9.58,0.37,74.48,97.47,85.23,77.94,TX 
20200709,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200710,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200711,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200712,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200713,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200714,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200715,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200716,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200717,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200718,9.58,0.25,74.48,97.47,85.23,77.94,TX 
20200719,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200720,9.58,0.74,74.48,97.47,85.23,77.94,TX 
20200701,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200702,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200703,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200704,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200705,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200706,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200707,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200708,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200709,9.58,0.0,74.48,97.47,85.23,77.94,TX 
20200710,9.58,0.0,74.48,97.47,85.23,77.94,TX 
