date,awnd,prcp,tmin,tmax,tavg,tobs,state
20200301,8.1,0.0,50.34,71.91,60.86,56.09,VA 
20200302,8.1,0.0,50.34,71.91,60.86,56.09,VA 
20200303,8.1,0.0,50.34,71.91,60.86,56.09,VA 
20200304,8.1,0.01,50.34,71.91,60.86,56.09,VA 
20200305,8.1,0.0,50.34,71.91,60.86,56.09,VA 
20200306,8.1,0.21,50.34,71.91,60.86,56.09,VA 
20200307,8.1,0.09,50.34,71.91,60.86,56.09,VA 
20200308,8.1,0.0,50.34,71.91,60.86,56.09,VA 
20200309,8.1,0.0,50.34,71.91,60.86,56.09,VA 
20200310,8.1,0.0,50.34,71.91,60.86,56.09,VA 
20200311,8.1,0.0,50.34,71.91,60.86,56.09,VA 
20200312,8.1,0.0,50.34,71.91,60.86,56.09,VA 
20200313,8.1,0.23,50.34,71.91,60.86,56.09,VA 
20200314,8.1,0.0,50.34,71.91,60.86,56.09,VA 
20200315,8.1,0.0,50.34,71.91,60.86,56.09,VA 
20200316,8.1,0.0,50.34,71.91,60.86,56.09,VA 
20200317,8.1,0.0,50.34,71.91,60.86,56.09,VA 
20200318,8.1,0.0,50.34,71.91,60.86,56.09,VA 
20200319,8.1,0.3,50.34,71.91,60.86,56.09,VA 
20200320,8.1,0.0,50.34,71.91,60.86,56.09,VA 
20200321,8.1,0.13,50.34,71.91,60.86,56.09,VA 
20200322,8.1,0.0,50.34,71.91,60.86,56.09,VA 
20200323,8.1,0.89,50.34,71.91,60.86,56.09,VA 
20200324,8.1,0.03,50.34,71.91,60.86,56.09,VA 
20200325,8.1,0.79,50.34,71.91,60.86,56.09,VA 
20200326,8.1,0.29,50.34,71.91,60.86,56.09,VA 
20200327,8.1,0.0,50.34,71.91,60.86,56.09,VA 
20200328,8.1,0.03,50.34,71.91,60.86,56.09,VA 
20200329,8.1,0.0,50.34,71.91,60.86,56.09,VA 
20200330,8.1,0.0,50.34,71.91,60.86,56.09,VA 
20200331,8.1,0.0,50.34,71.91,60.86,56.09,VA 
20200401,8.41,0.75,50.34,71.91,60.86,56.09,VA 
20200402,8.41,0.0,50.34,71.91,60.86,56.09,VA 
20200403,8.41,0.0,50.34,71.91,60.86,56.09,VA 
20200404,8.41,0.0,50.34,71.91,60.86,56.09,VA 
20200405,8.41,0.0,50.34,71.91,60.86,56.09,VA 
20200406,8.41,0.14,50.34,71.91,60.86,56.09,VA 
20200407,8.41,0.0,50.34,71.91,60.86,56.09,VA 
20200408,8.41,0.14,50.34,71.91,60.86,56.09,VA 
20200409,8.41,0.02,50.34,71.91,60.86,56.09,VA 
20200410,8.41,0.0,50.34,71.91,60.86,56.09,VA 
20200411,8.41,0.0,50.34,71.91,60.86,56.09,VA 
20200412,8.41,0.0,50.34,71.91,60.86,56.09,VA 
20200413,8.41,0.05,50.34,71.91,60.86,56.09,VA 
20200414,8.41,0.45,50.34,71.91,60.86,56.09,VA 
20200415,8.41,0.07,50.34,71.91,60.86,56.09,VA 
20200416,8.41,0.0,50.34,71.91,60.86,56.09,VA 
20200417,8.41,0.0,50.34,71.91,60.86,56.09,VA 
20200418,8.41,0.02,50.34,71.91,60.86,56.09,VA 
20200419,8.41,0.47,50.34,71.91,60.86,56.09,VA 
20200420,8.41,0.11,50.34,71.91,60.86,56.09,VA 
20200421,8.41,0.55,50.34,71.91,60.86,56.09,VA 
20200422,8.41,0.01,50.34,71.91,60.86,56.09,VA 
20200423,8.41,0.0,50.34,71.91,60.86,56.09,VA 
20200424,8.41,0.07,50.34,71.91,60.86,56.09,VA 
20200425,8.41,0.17,50.34,71.91,60.86,56.09,VA 
20200426,8.41,0.87,50.34,71.91,60.86,56.09,VA 
20200427,8.41,0.04,50.34,71.91,60.86,56.09,VA 
20200428,8.41,0.0,50.34,71.91,60.86,56.09,VA 
20200429,8.41,0.0,50.34,71.91,60.86,56.09,VA 
20200430,8.41,0.0,50.34,71.91,60.86,56.09,VA 
20200501,8.22,1.86,50.34,71.91,60.86,56.09,VA 
20200502,8.22,0.01,50.34,71.91,60.86,56.09,VA 
20200503,8.22,0.0,50.34,71.91,60.86,56.09,VA 
20200504,8.22,0.0,50.34,71.91,60.86,56.09,VA 
20200505,8.22,0.0,50.34,71.91,60.86,56.09,VA 
20200506,8.22,0.34,50.34,71.91,60.86,56.09,VA 
20200507,8.22,0.03,50.34,71.91,60.86,56.09,VA 
20200508,8.22,0.0,50.34,71.91,60.86,56.09,VA 
20200509,8.22,0.12,50.34,71.91,60.86,56.09,VA 
20200510,8.22,0.0,50.34,71.91,60.86,56.09,VA 
20200511,8.22,0.0,50.34,71.91,60.86,56.09,VA 
20200512,8.22,0.0,50.34,71.91,60.86,56.09,VA 
20200513,8.22,0.0,50.34,71.91,60.86,56.09,VA 
20200514,8.22,0.0,50.34,71.91,60.86,56.09,VA 
20200515,8.22,0.0,50.34,71.91,60.86,56.09,VA 
20200516,8.22,0.0,50.34,71.91,60.86,56.09,VA 
20200517,8.22,0.0,50.34,71.91,60.86,56.09,VA 
20200518,8.22,0.07,50.34,71.91,60.86,56.09,VA 
20200519,8.22,0.15,50.34,71.91,60.86,56.09,VA 
20200520,8.22,0.07,50.34,71.91,60.86,56.09,VA 
20200521,8.22,0.12,50.34,71.91,60.86,56.09,VA 
20200522,8.22,0.39,50.34,71.91,60.86,56.09,VA 
20200523,8.22,0.01,50.34,71.91,60.86,56.09,VA 
20200524,8.22,0.0,50.34,71.91,60.86,56.09,VA 
