date,awnd,prcp,tmin,tmax,tavg,tobs,state
20200301,7.21,0.0,39.17,58.71,48.38,45.3,WA 
20200302,7.21,0.0,39.17,58.71,48.38,45.3,WA 
20200303,7.21,0.0,39.17,58.71,48.38,45.3,WA 
20200304,7.21,0.0,39.17,58.71,48.38,45.3,WA 
20200305,7.21,0.0,39.17,58.71,48.38,45.3,WA 
20200306,7.21,0.0,39.17,58.71,48.38,45.3,WA 
20200307,7.21,0.18,39.17,58.71,48.38,45.3,WA 
20200308,7.21,0.01,39.17,58.71,48.38,45.3,WA 
20200309,7.21,0.0,39.17,58.71,48.38,45.3,WA 
20200310,7.21,0.0,39.17,58.71,48.38,45.3,WA 
20200311,7.21,0.0,39.17,58.71,48.38,45.3,WA 
20200312,7.21,0.0,39.17,58.71,48.38,45.3,WA 
20200313,7.21,0.0,39.17,58.71,48.38,45.3,WA 
20200314,7.21,0.53,39.17,58.71,48.38,45.3,WA 
20200315,7.21,0.0,39.17,58.71,48.38,45.3,WA 
20200316,7.21,0.0,39.17,58.71,48.38,45.3,WA 
20200317,7.21,0.0,39.17,58.71,48.38,45.3,WA 
20200318,7.21,0.0,39.17,58.71,48.38,45.3,WA 
20200319,7.21,0.0,39.17,58.71,48.38,45.3,WA 
20200320,7.21,0.0,39.17,58.71,48.38,45.3,WA 
20200321,7.21,0.0,39.17,58.71,48.38,45.3,WA 
20200322,7.21,0.0,39.17,58.71,48.38,45.3,WA 
20200323,7.21,0.0,39.17,58.71,48.38,45.3,WA 
20200324,7.21,0.0,39.17,58.71,48.38,45.3,WA 
20200325,7.21,0.0,39.17,58.71,48.38,45.3,WA 
20200326,7.21,0.01,39.17,58.71,48.38,45.3,WA 
20200327,7.21,0.0,39.17,58.71,48.38,45.3,WA 
20200328,7.21,0.0,39.17,58.71,48.38,45.3,WA 
20200329,7.21,0.0,39.17,58.71,48.38,45.3,WA 
20200330,7.21,0.0,39.17,58.71,48.38,45.3,WA 
20200331,7.21,0.0,39.17,58.71,48.38,45.3,WA 
20200401,6.89,0.0,39.17,58.71,48.38,45.3,WA 
20200402,6.89,0.02,39.17,58.71,48.38,45.3,WA 
20200403,6.89,0.01,39.17,58.71,48.38,45.3,WA 
20200404,6.89,0.01,39.17,58.71,48.38,45.3,WA 
20200405,6.89,0.0,39.17,58.71,48.38,45.3,WA 
20200406,6.89,0.0,39.17,58.71,48.38,45.3,WA 
20200407,6.89,0.0,39.17,58.71,48.38,45.3,WA 
20200408,6.89,0.0,39.17,58.71,48.38,45.3,WA 
20200409,6.89,0.0,39.17,58.71,48.38,45.3,WA 
20200410,6.89,0.0,39.17,58.71,48.38,45.3,WA 
20200411,6.89,0.0,39.17,58.71,48.38,45.3,WA 
20200412,6.89,0.0,39.17,58.71,48.38,45.3,WA 
20200413,6.89,0.0,39.17,58.71,48.38,45.3,WA 
20200414,6.89,0.0,39.17,58.71,48.38,45.3,WA 
20200415,6.89,0.0,39.17,58.71,48.38,45.3,WA 
20200416,6.89,0.0,39.17,58.71,48.38,45.3,WA 
20200417,6.89,0.0,39.17,58.71,48.38,45.3,WA 
20200418,6.89,0.0,39.17,58.71,48.38,45.3,WA 
20200419,6.89,0.0,39.17,58.71,48.38,45.3,WA 
20200420,6.89,0.0,39.17,58.71,48.38,45.3,WA 
20200421,6.89,0.0,39.17,58.71,48.38,45.3,WA 
20200422,6.89,0.0,39.17,58.71,48.38,45.3,WA 
20200423,6.89,0.03,39.17,58.71,48.38,45.3,WA 
20200424,6.89,0.0,39.17,58.71,48.38,45.3,WA 
20200425,6.89,0.0,39.17,58.71,48.38,45.3,WA 
20200427,6.89,0.0,39.17,58.71,48.38,45.3,WA 
20200428,6.89,0.0,39.17,58.71,48.38,45.3,WA 
20200429,6.89,0.0,39.17,58.71,48.38,45.3,WA 
20200430,6.89,0.0,39.17,58.71,48.38,45.3,WA 
20200501,7.16,0.0,39.17,58.71,48.38,45.3,WA 
20200502,7.16,0.0,39.17,58.71,48.38,45.3,WA 
20200503,7.16,0.04,39.17,58.71,48.38,45.3,WA 
20200504,7.16,0.0,39.17,58.71,48.38,45.3,WA 
