date,awnd,prcp,tmin,tmax,tavg,tobs,state
20200301,9.17,0.0,25.0,44.0,34.8,31.16,WI 
20200302,10.51,0.0,23.0,37.0,30.17,27.72,WI 
20200303,10.51,0.01,23.0,37.0,30.17,27.72,WI 
20200304,7.38,0.0,19.0,35.0,27.27,24.48,WI 
20200305,10.51,0.24,23.0,35.0,29.11,27.11,WI 
20200306,5.14,0.0,16.0,35.0,25.89,22.51,WI 
20200307,10.51,0.0,13.0,44.0,29.28,23.27,WI 
20200308,11.41,0.0,38.0,50.0,43.96,41.53,WI 
20200309,6.71,0.0,22.0,48.0,35.53,30.4,WI 
20200310,5.59,0.0,17.0,41.0,29.53,24.99,WI 
20200311,5.14,0.0,29.0,39.0,33.99,32.27,WI 
20200312,10.29,0.46,31.0,39.0,34.91,33.59,WI 
20200313,14.76,0.0,22.0,32.0,27.07,25.55,WI 
20200314,4.25,0.0,18.0,27.0,22.58,21.4,WI 
20200315,4.47,0.0,8.0,35.0,22.21,17.25,WI 
20200316,9.4,0.01,25.0,33.0,28.97,27.82,WI 
20200317,10.29,0.0,17.0,37.0,27.41,23.77,WI 
20200318,5.37,0.0,30.0,37.0,33.39,32.32,WI 
20200319,6.49,0.63,31.0,36.0,33.32,32.68,WI 
20200320,8.5,0.0,7.0,31.0,19.63,15.38,WI 
20200321,4.47,0.0,1.0,29.0,15.81,10.82,WI 
20200322,9.84,0.0,18.0,34.0,26.28,23.52,WI 
20200323,4.7,0.03,24.0,38.0,31.16,28.68,WI 
20200324,4.92,0.0,19.0,43.0,31.51,26.91,WI 
20200325,6.26,0.53,33.0,40.0,36.36,35.21,WI 
20200326,1.57,0.0,28.0,44.0,36.18,33.13,WI 
20200327,4.03,0.0,22.0,50.0,36.59,31.01,WI 
20200328,12.08,0.64,34.0,44.0,38.94,37.08,WI 
20200329,8.5,0.34,33.0,37.0,34.77,34.3,WI 
20200330,8.05,0.0,30.0,47.0,38.69,35.36,WI 
20200331,4.7,0.0,27.0,39.0,33.07,30.96,WI 
20200401,5.14,0.0,29.0,53.0,41.4,36.52,WI 
20200402,5.59,0.0,25.0,58.0,42.21,35.41,WI 
20200403,7.61,0.14,27.0,56.0,42.07,36.12,WI 
